path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
models/best_model_joint_lambda01.pt,models,best_model_joint_lambda01.pt,.pt,17481,17.1KB,2026-06-01 15:06,,
pernode/chb03_ictal_pernode.npy,pernode,chb03_ictal_pernode.npy,.npy,7760,7.6KB,2026-07-01 22:50,,
pernode/chb03_interictal_pernode.npy,pernode,chb03_interictal_pernode.npy,.npy,1238816,1.2MB,2026-07-01 22:50,,
pernode/chb06_ictal_pernode.npy,pernode,chb06_ictal_pernode.npy,.npy,3368,3.3KB,2026-07-01 22:50,,
pernode/chb06_interictal_pernode.npy,pernode,chb06_interictal_pernode.npy,.npy,1427600,1.4MB,2026-07-01 22:51,,
pernode/chb13_ictal_pernode.npy,pernode,chb13_ictal_pernode.npy,.npy,10496,10.2KB,2026-07-01 22:51,,
pernode/chb13_interictal_pernode.npy,pernode,chb13_interictal_pernode.npy,.npy,896672,875.7KB,2026-07-01 22:51,,
pernode/chb14_ictal_pernode.npy,pernode,chb14_ictal_pernode.npy,.npy,3656,3.6KB,2026-07-01 22:51,,
pernode/chb14_interictal_pernode.npy,pernode,chb14_interictal_pernode.npy,.npy,1006904,983.3KB,2026-07-01 22:51,,
pernode/chb15_ictal_pernode.npy,pernode,chb15_ictal_pernode.npy,.npy,37208,36.3KB,2026-07-01 22:51,,
pernode/chb15_interictal_pernode.npy,pernode,chb15_interictal_pernode.npy,.npy,1226000,1.2MB,2026-07-01 22:51,,
pernode/chb16_ictal_pernode.npy,pernode,chb16_ictal_pernode.npy,.npy,2144,2.1KB,2026-07-01 22:51,,
pernode/chb16_interictal_pernode.npy,pernode,chb16_interictal_pernode.npy,.npy,462944,452.1KB,2026-07-01 22:51,,
pernode/chb17_ictal_pernode.npy,pernode,chb17_ictal_pernode.npy,.npy,5456,5.3KB,2026-07-01 22:51,,
pernode/chb17_interictal_pernode.npy,pernode,chb17_interictal_pernode.npy,.npy,670016,654.3KB,2026-07-01 22:51,,
pernode/chb18_ictal_pernode.npy,pernode,chb18_ictal_pernode.npy,.npy,6104,6.0KB,2026-07-01 22:52,,
pernode/chb18_interictal_pernode.npy,pernode,chb18_interictal_pernode.npy,.npy,1069544,1.0MB,2026-07-01 22:52,,
processed/chb01_ictal.npy,processed,chb01_ictal.npy,.npy,8478848,8.1MB,2026-05-18 16:06,,
processed/chb01_ictal_adjs.npy,processed,chb01_ictal_adjs.npy,.npy,149168,145.7KB,2026-04-18 20:38,,
processed/chb01_ictal_adjs_multiband.npy,processed,chb01_ictal_adjs_multiband.npy,.npy,149168,145.7KB,2026-05-19 13:46,,
processed/chb01_ictal_adjs_multiband_topk20.npy,processed,chb01_ictal_adjs_multiband_topk20.npy,.npy,149168,145.7KB,2026-05-19 16:42,,
processed/chb01_ictal_adjs_spli_topk20.npy,processed,chb01_ictal_adjs_spli_topk20.npy,.npy,149168,145.7KB,2026-05-29 20:41,,
