path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
best_model.pt,.,best_model.pt,.pt,13115,12.8KB,2026-05-09 15:04,,
loss_curves.npz,.,loss_curves.npz,.npz,3702,3.6KB,2026-05-09 15:04,,
MANIFEST.txt,.,MANIFEST.txt,.txt,3038,3.0KB,2026-07-17 15:39,,# consolidated results manifest (copies; originals untouched) | locked/locked_phaseA_event_results.csv  <=  F:\Study\Thesis\Code\results\cpd\evaluation\locked_phaseA_event_results.csv | locked/eval_window_level.csv  <=  F:\Study\Thesis\Code\results\cpd\evaluation\eval_window_level.csv | locked/eval_stat_tests.csv  <=  F:\Study\Thesis\Code\results\cpd\evaluation\eval_stat_tests.csv | locked/auroc_verification.csv  <=  F:\Study\Thesis\Code\results\phaseB\auroc_verification.csv | attribution/attribution_pernode_summary.csv  <=  F:\Study\Thesis\Code\results\phaseB\attribution_pernode_summary.csv | attribution/attribution_pernode_profile.csv  <=  F:\Study\Thesis\Code\results\phaseB\attribution_pernode_profile.csv | attribution/attribution_pernode_figure.png  <=  F:\Study\Thesis\Code\results\phaseB\attribution_pernode_figure.png
README.md,.,README.md,.md,2775,2.7KB,2026-07-31 20:12,,"# `results/` — what each result is, and which `RESULTS_OF_RECORD.md` section cites it |  | Rule for this folder: **default is KEEP + label.** Only files proven superseded live under | `history_superseded/`; everything else is either CITED (an authoritative number in the thesis) or | kept as a record. When a number here disagrees with `docs/RESULTS_OF_RECORD.md` (ROR), **ROR wins.** |  | ## CITED — authoritative (these back the thesis numbers) | "
attribution/attribution_figure.png,attribution,attribution_figure.png,.png,126505,123.5KB,2026-07-01 21:19,,
attribution/attribution_pernode_figure.png,attribution,attribution_pernode_figure.png,.png,112624,110.0KB,2026-07-02 12:35,,
attribution/attribution_pernode_profile.csv,attribution,attribution_pernode_profile.csv,.csv,5552,5.4KB,2026-07-02 12:35,,
attribution/attribution_pernode_summary.csv,attribution,attribution_pernode_summary.csv,.csv,966,966.0B,2026-07-02 12:35,,
attribution/attribution_profile.csv,attribution,attribution_profile.csv,.csv,5548,5.4KB,2026-07-01 21:19,,
attribution/attribution_summary.csv,attribution,attribution_summary.csv,.csv,893,893.0B,2026-07-01 21:19,,
attribution/attribution_out/attribution_figure.png,attribution/attribution_out,attribution_figure.png,.png,126505,123.5KB,2026-07-01 21:19,,
attribution/attribution_out/attribution_profile.csv,attribution/attribution_out,attribution_profile.csv,.csv,5548,5.4KB,2026-07-01 21:19,,
attribution/attribution_out/attribution_summary.csv,attribution/attribution_out,attribution_summary.csv,.csv,893,893.0B,2026-07-01 21:19,,
attribution_v3/attribution_v3_cohort.csv,attribution_v3,attribution_v3_cohort.csv,.csv,373,373.0B,2026-07-19 09:55,v3,
attribution_v3/attribution_v3_concentration.png,attribution_v3,attribution_v3_concentration.png,.png,51337,50.1KB,2026-07-19 09:55,v3,
attribution_v3/attribution_v3_perseizure.csv,attribution_v3,attribution_v3_perseizure.csv,.csv,10769,10.5KB,2026-07-19 09:55,v3,
attribution_v3/attribution_v3_provenance.json,attribution_v3,attribution_v3_provenance.json,.json,1269,1.2KB,2026-07-19 09:55,v3,"{ |   ""script"": ""attribution_v3.py / pre-registration v3.1 / Stage 1 (Test A)"", |   ""preregistration"": ""ATTRIBUTION_PREREGISTRATION_v3_1.md (Test A only)"", |   ""run_utc"": ""2026-07-19T02:55:05+00:00"", |   ""seed"": 0, |   ""rng"": ""np.random.default_rng"", |   ""n_null"": 1000, |   ""n_boot"": 10000,"
attribution_v3/attribution_v3_summary.csv,attribution_v3,attribution_v3_summary.csv,.csv,2152,2.1KB,2026-07-19 09:55,v3,
attribution_v3/tpfp_concentration.png,attribution_v3,tpfp_concentration.png,.png,89955,87.8KB,2026-07-19 10:21,,
attribution_v3/tpfp_diagnostics.csv,attribution_v3,tpfp_diagnostics.csv,.csv,318,318.0B,2026-07-19 10:19,,
attribution_v3/tpfp_events.csv,attribution_v3,tpfp_events.csv,.csv,91849,89.7KB,2026-07-19 10:19,,
attribution_v3/tpfp_summary.json,attribution_v3,tpfp_summary.json,.json,2306,2.3KB,2026-07-19 10:21,,"{ |   ""D1_per_subject_auroc"": { |     ""chb03"": 0.481, |     ""chb13"": 0.7152, |     ""chb14"": 0.4922, |     ""chb15"": 0.4566, |     ""chb16"": 0.5, |     ""chb17"": 0.7,"
attribution_v3/headmaps/headmap_chb03_median.png,attribution_v3/headmaps,headmap_chb03_median.png,.png,145394,142.0KB,2026-07-19 14:41,,
attribution_v3/headmaps/headmap_chb03_perseizure.png,attribution_v3/headmaps,headmap_chb03_perseizure.png,.png,337670,329.8KB,2026-07-19 14:41,,
attribution_v3/headmaps/headmap_chb06_median.png,attribution_v3/headmaps,headmap_chb06_median.png,.png,144146,140.8KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb06_perseizure.png,attribution_v3/headmaps,headmap_chb06_perseizure.png,.png,475256,464.1KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb13_median.png,attribution_v3/headmaps,headmap_chb13_median.png,.png,143117,139.8KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb13_perseizure.png,attribution_v3/headmaps,headmap_chb13_perseizure.png,.png,540363,527.7KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb14_median.png,attribution_v3/headmaps,headmap_chb14_median.png,.png,145366,142.0KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb14_perseizure.png,attribution_v3/headmaps,headmap_chb14_perseizure.png,.png,378977,370.1KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb15_median.png,attribution_v3/headmaps,headmap_chb15_median.png,.png,145941,142.5KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb15_perseizure.png,attribution_v3/headmaps,headmap_chb15_perseizure.png,.png,906571,885.3KB,2026-07-19 14:42,,
attribution_v3/headmaps/headmap_chb16_median.png,attribution_v3/headmaps,headmap_chb16_median.png,.png,143743,140.4KB,2026-07-19 14:42,,
