path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
chb03_sz01.png,.,chb03_sz01.png,.png,746715,729.2KB,2026-08-06 13:14,,
chb03_sz01_meta.json,.,chb03_sz01_meta.json,.json,472,472.0B,2026-08-06 13:14,,"{ |   ""subject"": ""chb03"", |   ""seizure_id"": 1, |   ""edf_file"": ""chb03_01.edf"", |   ""sfreq"": 256.0, |   ""channels"": [ |     ""FP1-F7"", |     ""F7-T7"","
chb03_sz01_raw.npy,.,chb03_sz01_raw.npy,.npy,1327304,1.3MB,2026-08-06 13:14,,
chb03_sz02.png,.,chb03_sz02.png,.png,757981,740.2KB,2026-08-06 13:14,,
chb03_sz02_meta.json,.,chb03_sz02_meta.json,.json,472,472.0B,2026-08-06 13:14,,"{ |   ""subject"": ""chb03"", |   ""seizure_id"": 2, |   ""edf_file"": ""chb03_02.edf"", |   ""sfreq"": 256.0, |   ""channels"": [ |     ""FP1-F7"", |     ""F7-T7"","
chb03_sz02_raw.npy,.,chb03_sz02_raw.npy,.npy,1566920,1.5MB,2026-08-06 13:14,,
chb03_sz03.png,.,chb03_sz03.png,.png,780046,761.8KB,2026-08-06 13:14,,
chb03_sz03_meta.json,.,chb03_sz03_meta.json,.json,472,472.0B,2026-08-06 13:14,,"{ |   ""subject"": ""chb03"", |   ""seizure_id"": 3, |   ""edf_file"": ""chb03_03.edf"", |   ""sfreq"": 256.0, |   ""channels"": [ |     ""FP1-F7"", |     ""F7-T7"","
chb03_sz03_raw.npy,.,chb03_sz03_raw.npy,.npy,1640648,1.6MB,2026-08-06 13:14,,
chb03_sz04.png,.,chb03_sz04.png,.png,717490,700.7KB,2026-08-06 13:14,,
chb03_sz04_meta.json,.,chb03_sz04_meta.json,.json,476,476.0B,2026-08-06 13:14,,"{ |   ""subject"": ""chb03"", |   ""seizure_id"": 4, |   ""edf_file"": ""chb03_04.edf"", |   ""sfreq"": 256.0, |   ""channels"": [ |     ""FP1-F7"", |     ""F7-T7"","
chb03_sz04_raw.npy,.,chb03_sz04_raw.npy,.npy,1327304,1.3MB,2026-08-06 13:14,,
chb03_sz05.png,.,chb03_sz05.png,.png,653953,638.6KB,2026-08-06 13:14,,
