path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
chb03_topo_ictal.npy,.,chb03_topo_ictal.npy,.npy,1824,1.8KB,2026-06-30 23:49,,
chb03_topo_inter.npy,.,chb03_topo_inter.npy,.npy,275392,268.9KB,2026-06-30 23:49,,
chb06_topo_ictal.npy,.,chb06_topo_ictal.npy,.npy,848,848.0B,2026-06-30 23:50,,
chb06_topo_inter.npy,.,chb06_topo_inter.npy,.npy,317344,309.9KB,2026-06-30 23:50,,
chb13_topo_ictal.npy,.,chb13_topo_ictal.npy,.npy,2432,2.4KB,2026-06-30 23:50,,
chb13_topo_inter.npy,.,chb13_topo_inter.npy,.npy,199360,194.7KB,2026-06-30 23:50,,
chb14_topo_ictal.npy,.,chb14_topo_ictal.npy,.npy,912,912.0B,2026-06-30 23:50,,
chb14_topo_inter.npy,.,chb14_topo_inter.npy,.npy,223856,218.6KB,2026-06-30 23:50,,
chb15_topo_ictal.npy,.,chb15_topo_ictal.npy,.npy,8368,8.2KB,2026-06-30 23:50,,
chb15_topo_inter.npy,.,chb15_topo_inter.npy,.npy,272544,266.2KB,2026-06-30 23:50,,
chb16_topo_ictal.npy,.,chb16_topo_ictal.npy,.npy,576,576.0B,2026-06-30 23:50,,
chb16_topo_inter.npy,.,chb16_topo_inter.npy,.npy,102976,100.6KB,2026-06-30 23:50,,
chb17_topo_ictal.npy,.,chb17_topo_ictal.npy,.npy,1312,1.3KB,2026-06-30 23:50,,
chb17_topo_inter.npy,.,chb17_topo_inter.npy,.npy,148992,145.5KB,2026-06-30 23:50,,
chb18_topo_ictal.npy,.,chb18_topo_ictal.npy,.npy,1456,1.4KB,2026-06-30 23:50,,
chb18_topo_inter.npy,.,chb18_topo_inter.npy,.npy,237776,232.2KB,2026-06-30 23:50,,
