subject,event_idx,t_start,t_end,duration_s,n_windows,n_windows_resolved,label,label_str,near_miss,fp_class,gini,entropy_norm,top5_mass,mean_anomaly_score,max_anomaly_score,top5_channels
chb03,0,340.0,404.0,64.0,16,16,1,TP,False,TP,0.4343817490203534,0.8907099092564245,0.5650178566850956,2.1408538818359375,7.983535289764404,P7-O1|F3-C3|FZ-CZ|T7-P7|CZ-PZ
chb03,1,4000.0,4004.0,4.0,1,1,0,FP,False,remote_FP,0.4134937660557214,0.8946108954893277,0.5561263200836739,0.7264551520347595,0.7264551520347595,C3-P3|C4-P4|P4-O2|CZ-PZ|F8-T8
chb03,2,4300.0,4424.0,124.0,31,24,1,TP,False,TP,0.2669291602839081,0.9537773002890481,0.4319967968739236,2.868659496307373,10.138078689575195,C4-P4|P7-O1|CZ-PZ|F7-T7|FP1-F3
chb03,3,7420.0,7424.0,4.0,1,1,0,FP,True,near_miss_FP,0.3917768275354163,0.9076180009908239,0.5441979603759971,1.4083689451217651,1.4083689451217651,P3-O1|CZ-PZ|C4-P4|C3-P3|F7-T7
chb03,4,7620.0,7624.0,4.0,1,1,1,TP,False,TP,0.313769375147557,0.9442468127186481,0.4720267641988767,0.28794029355049133,0.28794029355049133,FP2-F4|P7-O1|FP1-F3|C4-P4|F4-C4
chb03,6,10860.0,10944.0,84.0,21,21,0,FP,False,remote_FP,0.3176904329935455,0.9422123997241428,0.483973369523679,2.1319777965545654,5.342340469360352,P3-O1|FP2-F8|P7-O1|FP2-F4|FP1-F3
chb03,7,11780.0,11864.0,84.0,21,21,0,FP,False,remote_FP,0.38745326040621264,0.9058900453633729,0.5089699441599397,2.2863430976867676,4.573018550872803,P3-O1|FP2-F8|C3-P3|FP2-F4|C4-P4
chb03,8,11960.0,11964.0,4.0,1,1,0,FP,False,remote_FP,0.3718808395646789,0.9230341811057409,0.5273843627593034,3.3991622924804688,3.3991622924804688,F8-T8|F7-T7|CZ-PZ|P4-O2|FP2-F8
chb03,9,12120.0,12204.0,84.0,21,21,0,FP,False,remote_FP,0.3157143662648261,0.9340758848629988,0.4940713410959946,1.7580046653747559,8.001396179199219,F7-T7|FP1-F7|FZ-CZ|C3-P3|FP2-F8
chb03,10,12940.0,12944.0,4.0,1,1,1,TP,False,TP,0.4285807087243094,0.8938281526548407,0.5680829952038039,1.1031523942947388,1.1031523942947388,T7-P7|C3-P3|P8-O2|F7-T7|T8-P8
chb03,12,14580.0,14584.0,4.0,1,1,0,FP,False,remote_FP,0.40617640687056933,0.9060066180330442,0.5492251205446712,1.688383936882019,1.688383936882019,P7-O1|FZ-CZ|F3-C3|T7-P7|P4-O2
