subject,seizure_idx,n_windows,n_ictal_ch,AUROC,AUPRC,recall_at_S,spread,AUROC_ctrl
chb03,0,14,2,1.0,1.0,1.0,0.9466,1.0
chb03,1,17,1,0.8235,0.25,0.0,0.9844,1.0
chb03,2,18,1,0.5294,0.1111,0.0,0.9875,1.0
chb03,3,14,1,1.0,1.0,1.0,0.9675,1.0
chb03,5,16,1,0.6471,0.1429,0.0,0.9738,1.0
chb03,6,14,1,1.0,1.0,1.0,0.9679,1.0
chb14,1,5,2,0.1562,0.0972,0.0,0.9082,0.5
chb14,2,6,2,0.4688,0.3056,0.5,0.9548,0.4688
chb14,3,5,1,0.1765,0.0667,0.0,0.9532,0.0
chb15,0,32,1,0.0588,0.0588,0.0,0.9887,0.8824
chb15,1,9,1,0.9412,0.5,0.0,0.9753,0.8824
chb15,2,40,1,0.4706,0.1,0.0,0.9711,0.9412
chb15,3,9,1,1.0,1.0,1.0,0.9678,0.8824
chb15,4,15,1,0.5882,0.125,0.0,0.9802,0.8824
chb15,5,52,1,0.8235,0.25,0.0,0.9801,0.8824
chb15,6,48,2,0.75,0.2679,0.0,0.9639,0.9375
chb15,7,31,1,0.8824,0.3333,0.0,0.9737,0.8824
chb15,8,16,1,0.8235,0.25,0.0,0.9629,0.8824
chb15,9,31,1,0.9412,0.5,0.0,0.9597,0.8824
chb15,10,17,1,0.8235,0.25,0.0,0.9599,0.8824
chb15,11,28,1,0.8235,0.25,0.0,0.979,0.8824
chb15,12,35,1,0.1176,0.0625,0.0,0.9866,0.9412
chb15,13,19,1,0.2353,0.0714,0.0,0.9635,0.8824
chb15,14,15,1,0.8824,0.3333,0.0,0.9548,0.8824
chb15,15,45,1,0.5294,0.1111,0.0,0.9619,0.8824
chb15,16,18,1,0.9412,0.5,0.0,0.9663,0.8824
chb15,17,19,1,0.5294,0.1111,0.0,0.9847,0.8824
chb15,18,8,1,0.2941,0.0769,0.0,0.9732,0.9412
chb15,19,28,2,0.9062,0.5,0.5,0.9586,0.9375
chb16,2,4,2,0.4688,0.1458,0.0,0.9529,0.2812
chb17,0,23,2,0.625,0.2,0.0,0.9816,0.5625
chb17,1,29,2,0.7812,0.2917,0.0,0.9911,0.5312
chb17,2,22,2,0.4062,0.1588,0.0,0.9818,0.7812
chb18,0,13,2,0.4062,0.1806,0.0,0.9841,0.5
chb18,1,8,1,0.8824,0.3333,0.0,0.9808,0.0588
chb18,4,17,2,0.6562,0.2083,0.0,0.9681,0.3125
