panel,n_seizures,seed,agg,macro_AUROC,AUROC_CI_lo,AUROC_CI_hi,macro_AUPRC,AUPRC_CI_lo,AUPRC_CI_hi,recall_at_S,AUROC_subject_ctrl,delta_vs_ctrl,null_mean,p_perm
ALL focal (D5 primary),36,42,p95,0.6497,0.5663,0.739,0.3095,0.2273,0.4088,0.1389,0.7758,-0.1261,0.501,0.001
focal excl. chb15,16,42,p95,0.6267,0.4912,0.7545,0.3432,0.191,0.5174,0.2188,0.6248,0.002,0.4996,0.038
chb15 only,20,42,p95,0.6681,0.5368,0.7934,0.2826,0.1979,0.3938,0.075,0.8967,-0.2286,0.502,0.004
"focal, n_win>=3",36,42,p95,0.6497,0.5478,0.7384,0.3095,0.2284,0.4063,0.1389,0.7758,-0.1261,0.5009,0.002
subject chb03,6,42,p95,0.8333,0.6956,0.9706,0.584,0.2751,0.875,0.5,1.0,-0.1667,0.5049,0.002
subject chb14,3,42,p95,0.2672,0.1562,0.4688,0.1565,0.0667,0.3056,0.1667,0.3229,-0.0558,0.4983,0.9391
subject chb15,20,42,p95,0.6681,0.5323,0.784,0.2826,0.1969,0.3902,0.075,0.8967,-0.2286,0.4991,0.003
subject chb17,3,42,p95,0.6042,0.4062,0.7812,0.2168,0.1588,0.2917,0.0,0.625,-0.0208,0.5056,0.2358
subject chb18,3,42,p95,0.6483,0.4062,0.8824,0.2407,0.1806,0.3333,0.0,0.2904,0.3578,0.5076,0.1838
ALL focal seed1,36,1,p95,0.66,0.5654,0.749,0.3425,0.251,0.4462,0.1528,0.7613,-0.1013,0.4999,0.001
ALL focal seed2,36,2,p95,0.6491,0.5546,0.7378,0.3097,0.2233,0.4043,0.1389,0.771,-0.122,0.501,0.003
ALL focal seed3,36,3,p95,0.6515,0.5626,0.7443,0.321,0.2333,0.4127,0.1528,0.7694,-0.118,0.4984,0.003
ALL focal (mean agg),36,42,mean,0.6733,0.5755,0.7634,0.3856,0.2831,0.4924,0.1944,0.7887,-0.1154,0.4979,0.001
spread focal vs generalized,76,42,p95,0.9693,,,,,,,0.9594,,,0.984153
