panel,alpha,n_injected,macro_AUROC,macro_AUPRC,recall_at_S,null_mean,null_p95,p_perm,spread_mean
VAL,1.0,1,0.4912,0.1895,0.065,0.499,0.5347,0.6314,0.9765
VAL,1.0,2,0.4873,0.2339,0.1125,0.5003,0.5267,0.8062,0.9778
VAL,1.0,4,0.5087,0.3359,0.2213,0.4994,0.5205,0.2258,0.9761
VAL,1.0,8,0.4911,0.5294,0.4356,0.5,0.5164,0.8172,0.9778
VAL,1.0,12,0.5257,0.7302,0.6763,0.5003,0.517,0.008,0.979
VAL,1.25,1,0.6962,0.3845,0.22,0.4998,0.5371,0.001,0.9781
VAL,1.25,2,0.6942,0.4419,0.2975,0.499,0.5255,0.001,0.9773
VAL,1.25,4,0.7079,0.5479,0.45,0.5003,0.5195,0.001,0.975
VAL,1.25,8,0.6973,0.71,0.6131,0.4997,0.5158,0.001,0.9734
VAL,1.25,12,0.6924,0.8368,0.7546,0.4995,0.5169,0.001,0.9733
VAL,1.5,1,0.8247,0.598,0.45,0.5001,0.5377,0.001,0.9755
VAL,1.5,2,0.8367,0.6438,0.5275,0.4998,0.5263,0.001,0.9703
VAL,1.5,4,0.8279,0.7254,0.6162,0.4999,0.5206,0.001,0.9647
VAL,1.5,8,0.8362,0.8454,0.7488,0.4999,0.5154,0.001,0.9637
VAL,1.5,12,0.826,0.912,0.8329,0.5,0.517,0.001,0.9692
VAL,2.0,1,0.9547,0.8587,0.795,0.4995,0.5356,0.001,0.966
VAL,2.0,2,0.9291,0.8496,0.7725,0.4998,0.5247,0.001,0.9544
VAL,2.0,4,0.9472,0.914,0.8538,0.4995,0.5193,0.001,0.9447
VAL,2.0,8,0.9409,0.9433,0.8762,0.4993,0.5156,0.001,0.9428
VAL,2.0,12,0.9504,0.9773,0.9254,0.5001,0.5158,0.001,0.9548
VAL,3.0,1,0.9818,0.9579,0.94,0.5008,0.5383,0.001,0.9432
VAL,3.0,2,0.9917,0.9725,0.945,0.5013,0.5269,0.001,0.9181
VAL,3.0,4,0.9835,0.9757,0.9537,0.4998,0.518,0.001,0.8927
VAL,3.0,8,0.9828,0.9853,0.9606,0.5,0.5163,0.001,0.9068
VAL,3.0,12,0.9881,0.9948,0.9758,0.4997,0.5161,0.001,0.9317
TEST,1.0,1,0.5191,0.1977,0.065,0.4999,0.5347,0.1938,0.9737
TEST,1.0,2,0.4694,0.2166,0.085,0.5,0.5256,0.977,0.9762
TEST,1.0,4,0.5038,0.3314,0.2238,0.4999,0.5203,0.3636,0.9739
TEST,1.0,8,0.5199,0.5471,0.4662,0.5003,0.5162,0.022,0.9748
TEST,1.0,12,0.4976,0.7101,0.6621,0.4995,0.5163,0.5864,0.9746
TEST,1.25,1,0.6565,0.3455,0.2,0.5004,0.5344,0.001,0.9758
TEST,1.25,2,0.7216,0.4315,0.2875,0.4998,0.5262,0.001,0.9735
TEST,1.25,4,0.7048,0.5494,0.4525,0.5001,0.5209,0.001,0.9735
TEST,1.25,8,0.7099,0.7152,0.6119,0.5002,0.5176,0.001,0.9727
TEST,1.25,12,0.7078,0.8487,0.7612,0.5002,0.5182,0.001,0.9691
TEST,1.5,1,0.8553,0.5946,0.44,0.5006,0.5374,0.001,0.9733
TEST,1.5,2,0.825,0.6404,0.525,0.4991,0.5247,0.001,0.9676
TEST,1.5,4,0.8218,0.7286,0.6288,0.4998,0.5203,0.001,0.9643
TEST,1.5,8,0.8487,0.8509,0.7575,0.4997,0.5156,0.001,0.9614
TEST,1.5,12,0.847,0.9228,0.8413,0.4996,0.5158,0.001,0.9643
TEST,2.0,1,0.9515,0.8289,0.74,0.4994,0.5353,0.001,0.9624
TEST,2.0,2,0.9194,0.8172,0.745,0.501,0.5264,0.001,0.9538
TEST,2.0,4,0.9287,0.8872,0.8025,0.5002,0.52,0.001,0.9428
TEST,2.0,8,0.9248,0.931,0.8575,0.4995,0.5153,0.001,0.9385
TEST,2.0,12,0.9364,0.9714,0.915,0.5003,0.517,0.001,0.9506
TEST,3.0,1,0.9791,0.9275,0.885,0.5005,0.5359,0.001,0.9417
TEST,3.0,2,0.9798,0.9573,0.9275,0.5008,0.5275,0.001,0.9116
TEST,3.0,4,0.9847,0.9745,0.9425,0.4994,0.518,0.001,0.8918
TEST,3.0,8,0.9832,0.9859,0.9556,0.4996,0.516,0.001,0.9048
TEST,3.0,12,0.9822,0.9923,0.9692,0.4998,0.5166,0.001,0.931
