panel,n_seizures,seed,agg,macro_AUROC,AUROC_CI_lo,AUROC_CI_hi,null_mean,p_perm,macro_AUPRC,AUPRC_CI_lo,AUPRC_CI_hi,macro_prevalence,AUPRC_over_prevalence,recall_at_S,macro_AUROC_prior,delta_vs_prior
ALL focal (primary),62,42,p95,0.5694,0.5097,0.6321,0.5004,0.001,0.45,0.4,0.5039,0.2527,1.78,0.3202,0.7387,-0.1694
focal excl. chb15 (D8),42,42,p95,0.5011,0.4311,0.5741,0.5,0.4915,0.4458,0.3881,0.5046,0.3122,1.43,0.3188,0.8164,-0.3153
focal n_win>=3 (D5),59,42,p95,0.5889,0.5299,0.6454,0.5003,0.001,0.4602,0.4067,0.5156,0.2486,1.85,0.3317,0.7328,-0.1439
ALL focal (mean agg),62,42,mean,0.5854,0.5197,0.6506,0.5003,0.001,0.4783,0.4193,0.5337,0.2527,1.89,0.368,0.7387,-0.1534
ALL focal seed1,62,1,p95,0.5755,0.5116,0.6345,0.4999,0.001,0.4694,0.4114,0.5327,0.2527,1.86,0.353,0.7387,-0.1632
ALL focal seed2,62,2,p95,0.5767,0.5089,0.6419,0.5004,0.001,0.4663,0.4076,0.5237,0.2527,1.85,0.3403,0.7387,-0.162
ALL focal seed3,62,3,p95,0.5723,0.5102,0.6373,0.5007,0.002,0.4484,0.3944,0.5048,0.2527,1.77,0.33,0.7387,-0.1664
subject chb03,4,42,p95,0.4924,0.416,0.5688,0.5016,0.5385,0.5119,0.4315,0.6042,0.4583,1.12,0.3646,0.9032,-0.4108
subject chb13,11,42,p95,0.6763,0.5846,0.7755,0.5028,0.001,0.6135,0.5209,0.7085,0.303,2.02,0.5152,0.7525,-0.0763
subject chb14,8,42,p95,0.5908,0.4415,0.705,0.5008,0.0509,0.5144,0.4213,0.6161,0.3194,1.61,0.4469,0.8074,-0.2166
subject chb15,20,42,p95,0.7127,0.6177,0.8008,0.5005,0.001,0.4588,0.3575,0.5647,0.1278,3.59,0.3233,0.5757,0.137
subject chb16,10,42,p95,0.2597,0.2082,0.3038,0.4962,1.0,0.2464,0.2286,0.2663,0.3056,0.81,0.0619,0.8458,-0.5861
subject chb17,3,42,p95,0.7082,0.4462,0.9464,0.4982,0.017,0.5185,0.3269,0.8542,0.2407,2.15,0.4,0.8313,-0.1231
subject chb18,6,42,p95,0.365,0.2196,0.538,0.5046,0.984,0.2987,0.2136,0.409,0.2685,1.11,0.1448,0.8309,-0.4659
