scenario,pen,auroc,tp,fn,dr,fcp_h,lat_s
A: full  (0.35r+0.30t+0.35g),0.3,0.73,6,2,0.75,35.65,5.3
A: full  (0.35r+0.30t+0.35g),0.5,0.73,5,3,0.625,27.87,1.6
A: full  (0.35r+0.30t+0.35g),1.0,0.73,3,5,0.375,18.38,-18.7
A: full  (0.35r+0.30t+0.35g),2.0,0.73,2,6,0.25,9.94,-22.0
B: -gamma(0.50r+0.50t       ),0.3,0.8413,6,2,0.75,34.61,1.3
B: -gamma(0.50r+0.50t       ),0.5,0.8413,5,3,0.625,26.94,0.0
B: -gamma(0.50r+0.50t       ),1.0,0.8413,3,5,0.375,17.0,-13.3
B: -gamma(0.50r+0.50t       ),2.0,0.8413,3,5,0.375,9.4,-20.0
C: rev-g (0.35r+0.30t-0.35g),0.3,0.784,6,2,0.75,32.61,0.0
C: rev-g (0.35r+0.30t-0.35g),0.5,0.784,5,3,0.625,24.86,-5.6
C: rev-g (0.35r+0.30t-0.35g),1.0,0.784,4,4,0.5,14.15,-9.0
C: rev-g (0.35r+0.30t-0.35g),2.0,0.784,4,4,0.5,6.36,-9.0
