min_mag_pct,pen_mult,sensitivity,precision,f1,fp_per_day,n_detected,n_total
0.0,0.3,0.9474,0.0432,0.0818,154.24,72,76
0.0,0.5,0.9211,0.0462,0.0868,141.55,70,76
0.0,1.0,0.8553,0.0566,0.1043,107.73,65,76
0.0,2.0,0.7763,0.0742,0.132,68.0,59,76
0.0,5.0,0.5263,0.0865,0.1648,32.86,40,76
0.0,10.0,0.4079,0.1152,0.2013,18.71,31,76
40.0,0.3,0.9079,0.0628,0.1154,100.22,69,76
40.0,0.5,0.8816,0.0708,0.1285,86.17,67,76
40.0,1.0,0.8158,0.0915,0.1595,61.6,62,76
40.0,2.0,0.7237,0.1178,0.1953,37.3,55,76
40.0,5.0,0.5132,0.1366,0.2397,18.25,39,76
40.0,10.0,0.4079,0.1834,0.2863,10.49,31,76
50.0,0.3,0.9079,0.0739,0.1338,84.8,69,76
50.0,0.5,0.8421,0.0793,0.1412,72.82,64,76
50.0,1.0,0.8158,0.1048,0.1798,52.36,62,76
50.0,2.0,0.6974,0.1325,0.2142,30.55,53,76
50.0,5.0,0.5,0.1523,0.3033,15.04,38,76
50.0,10.0,0.3947,0.2072,0.3619,8.56,30,76
60.0,0.3,0.8289,0.083,0.1468,67.15,63,76
60.0,0.5,0.8158,0.0917,0.1607,58.38,62,76
60.0,1.0,0.75,0.1156,0.1937,41.4,57,76
60.0,2.0,0.6184,0.1384,0.2181,24.62,47,76
60.0,5.0,0.5,0.1848,0.3518,11.55,38,76
60.0,10.0,0.3684,0.193,0.3834,6.65,28,76
70.0,0.3,0.8158,0.1047,0.1806,50.4,62,76
70.0,0.5,0.7368,0.1071,0.1817,43.81,56,76
70.0,1.0,0.6579,0.1249,0.2031,31.04,50,76
70.0,2.0,0.6053,0.1677,0.2536,18.77,46,76
70.0,5.0,0.4868,0.2196,0.3837,8.41,37,76
70.0,10.0,0.3684,0.2267,0.4247,5.12,28,76
