min_mag_pct,pen_mult,sensitivity,precision,f1,fp_per_day,n_detected,n_total
70.0,10.0,0.3684,0.2267,0.4247,5.12,28.0,76.0
70.0,5.0,0.4868,0.2196,0.3837,8.41,37.0,76.0
60.0,5.0,0.5,0.1848,0.3518,11.55,38.0,76.0
40.0,5.0,0.5132,0.1366,0.2397,18.25,39.0,76.0
70.0,2.0,0.6053,0.1677,0.2536,18.77,46.0,76.0
60.0,2.0,0.6184,0.1384,0.2181,24.62,47.0,76.0
50.0,2.0,0.6974,0.1325,0.2142,30.55,53.0,76.0
40.0,2.0,0.7237,0.1178,0.1953,37.3,55.0,76.0
60.0,1.0,0.75,0.1156,0.1937,41.4,57.0,76.0
70.0,0.3,0.8158,0.1047,0.1806,50.4,62.0,76.0
60.0,0.3,0.8289,0.083,0.1468,67.15,63.0,76.0
50.0,0.5,0.8421,0.0793,0.1412,72.82,64.0,76.0
50.0,0.3,0.9079,0.0739,0.1338,84.8,69.0,76.0
0.0,0.5,0.9211,0.0462,0.0868,141.55,70.0,76.0
0.0,0.3,0.9474,0.0432,0.0818,154.24,72.0,76.0
