subject,ch_index,channel,region,hemisphere,mean_abs_z,sd_abs_z
chb03,0,FP1-F7,L-temp,L,0.1643,0.0998
chb03,1,F7-T7,L-temp,L,0.4512,0.2114
chb03,2,T7-P7,L-temp,L,1.2774,0.6345
chb03,3,P7-O1,L-temp,L,1.1718,0.1585
chb03,4,FP1-F3,L-cent,L,1.4479,0.503
chb03,5,F3-C3,L-cent,L,0.672,0.4935
chb03,6,C3-P3,L-cent,L,0.2915,0.1915
chb03,7,P3-O1,L-cent,L,0.4233,0.1961
chb03,8,FP2-F4,R-cent,R,1.5891,0.519
chb03,9,F4-C4,R-cent,R,0.6305,0.6631
chb03,10,C4-P4,R-cent,R,0.4648,0.2742
chb03,11,P4-O2,R-cent,R,0.8015,0.187
chb03,12,FP2-F8,R-temp,R,0.3942,0.2635
chb03,13,F8-T8,R-temp,R,0.6124,0.48
chb03,14,T8-P8,R-temp,R,0.497,0.4214
chb03,15,P8-O2,R-temp,R,0.6058,0.5857
chb03,16,FZ-CZ,Mid,M,0.6609,0.2686
chb03,17,CZ-PZ,Mid,M,0.3949,0.1812
chb06,0,FP1-F7,L-temp,L,1.3857,0.8512
chb06,1,F7-T7,L-temp,L,0.4478,0.3011
chb06,2,T7-P7,L-temp,L,1.6736,0.9287
chb06,3,P7-O1,L-temp,L,1.0076,0.8452
chb06,4,FP1-F3,L-cent,L,0.8925,0.6046
chb06,5,F3-C3,L-cent,L,0.3882,0.2998
chb06,6,C3-P3,L-cent,L,0.7849,0.5497
chb06,7,P3-O1,L-cent,L,0.5631,0.3856
chb06,8,FP2-F4,R-cent,R,0.6443,0.3845
chb06,9,F4-C4,R-cent,R,0.5213,0.4815
chb06,10,C4-P4,R-cent,R,0.6205,0.4515
chb06,11,P4-O2,R-cent,R,0.9499,0.6387
chb06,12,FP2-F8,R-temp,R,0.435,0.34
chb06,13,F8-T8,R-temp,R,1.5972,0.729
chb06,14,T8-P8,R-temp,R,2.4934,1.4623
chb06,15,P8-O2,R-temp,R,1.5352,0.5089
chb06,16,FZ-CZ,Mid,M,0.3795,0.2132
chb06,17,CZ-PZ,Mid,M,0.6074,0.4173
chb13,0,FP1-F7,L-temp,L,1.2267,0.5809
chb13,1,F7-T7,L-temp,L,1.2065,0.5593
chb13,2,T7-P7,L-temp,L,0.4219,0.3289
chb13,3,P7-O1,L-temp,L,0.4334,0.2847
chb13,4,FP1-F3,L-cent,L,0.3702,0.2914
chb13,5,F3-C3,L-cent,L,0.9781,0.3352
chb13,6,C3-P3,L-cent,L,0.595,0.278
chb13,7,P3-O1,L-cent,L,0.3035,0.1735
chb13,8,FP2-F4,R-cent,R,0.7023,0.3788
chb13,9,F4-C4,R-cent,R,0.7013,0.4091
chb13,10,C4-P4,R-cent,R,0.4612,0.3687
chb13,11,P4-O2,R-cent,R,0.5482,0.2928
chb13,12,FP2-F8,R-temp,R,1.0648,0.4343
chb13,13,F8-T8,R-temp,R,0.4299,0.375
chb13,14,T8-P8,R-temp,R,0.4583,0.3179
chb13,15,P8-O2,R-temp,R,0.3445,0.1952
chb13,16,FZ-CZ,Mid,M,0.6372,0.2942
chb13,17,CZ-PZ,Mid,M,0.5731,0.4682
chb14,0,FP1-F7,L-temp,L,4.2083,2.4689
chb14,1,F7-T7,L-temp,L,2.8387,1.5811
chb14,2,T7-P7,L-temp,L,1.6364,1.2314
chb14,3,P7-O1,L-temp,L,1.9036,1.2733
chb14,4,FP1-F3,L-cent,L,1.5129,1.1742
chb14,5,F3-C3,L-cent,L,0.3144,0.1991
chb14,6,C3-P3,L-cent,L,0.8118,0.5722
chb14,7,P3-O1,L-cent,L,0.3515,0.2539
chb14,8,FP2-F4,R-cent,R,1.7774,0.9521
chb14,9,F4-C4,R-cent,R,0.2757,0.1966
chb14,10,C4-P4,R-cent,R,1.009,0.6611
chb14,11,P4-O2,R-cent,R,0.3164,0.3926
chb14,12,FP2-F8,R-temp,R,0.976,0.4182
chb14,13,F8-T8,R-temp,R,1.5694,1.0196
chb14,14,T8-P8,R-temp,R,1.7232,1.0902
chb14,15,P8-O2,R-temp,R,1.0457,0.5556
chb14,16,FZ-CZ,Mid,M,0.6369,0.2169
chb14,17,CZ-PZ,Mid,M,1.1663,0.9734
chb15,0,FP1-F7,L-temp,L,0.5679,0.3148
chb15,1,F7-T7,L-temp,L,0.875,0.5747
chb15,2,T7-P7,L-temp,L,1.6619,0.8894
chb15,3,P7-O1,L-temp,L,0.9788,0.6335
chb15,4,FP1-F3,L-cent,L,0.5484,0.3986
chb15,5,F3-C3,L-cent,L,0.6634,0.424
chb15,6,C3-P3,L-cent,L,0.8701,0.6159
