delta,spur_pct,spurious_removed_frac,aligned_kept_frac
0.00018,0,0.0,1.0
0.21428,5,0.0501,0.9885
0.26006,10,0.1,0.9846
0.29304,15,0.1501,0.9731
0.32285,20,0.2,0.9538
0.34906,25,0.25,0.9462
0.37477,30,0.3,0.9385
0.4013,35,0.35,0.9269
0.42912,40,0.4,0.9192
0.45716,45,0.45,0.8962
0.49049,50,0.4999,0.8885
0.52634,55,0.55,0.8615
0.57129,60,0.6,0.8308
0.62518,65,0.65,0.8192
0.69802,70,0.7,0.7885
0.79344,75,0.7499,0.7385
0.9555,80,0.8,0.6615
1.42166,85,0.8499,0.4692
5.57444,90,0.9,0.0231
9.91544,95,0.9499,0.0115
