TP,FN,FP,n_seizures,sensitivity,precision,f1,fp_per_day,mag_pct,pen_mult,on_pareto_frontier
69,7,1136,76,0.9079,0.0573,0.1077,97.994,40.0,0.3,False
67,9,958,76,0.8816,0.0654,0.1217,82.64,40.0,0.5,True
62,14,662,76,0.8158,0.0856,0.155,57.106,40.0,1.0,False
55,21,400,76,0.7237,0.1209,0.2072,34.505,40.0,2.0,True
39,37,199,76,0.5132,0.1639,0.2484,17.166,40.0,5.0,False
31,45,114,76,0.4079,0.2138,0.2805,9.834,40.0,10.0,False
69,7,959,76,0.9079,0.0671,0.125,82.726,50.0,0.3,True
64,12,811,76,0.8421,0.0731,0.1346,69.959,50.0,0.5,True
62,14,556,76,0.8158,0.1003,0.1787,47.962,50.0,1.0,True
53,23,328,76,0.6974,0.1391,0.2319,28.294,50.0,2.0,True
38,38,164,76,0.5,0.1881,0.2734,14.147,50.0,5.0,False
30,46,94,76,0.3947,0.2419,0.3,8.109,50.0,10.0,False
66,10,857,76,0.8684,0.0715,0.1321,73.927,55.0,0.3,True
63,13,726,76,0.8289,0.0798,0.1457,62.627,55.0,0.5,False
61,15,497,76,0.8026,0.1093,0.1924,42.873,55.0,1.0,True
51,25,294,76,0.6711,0.1478,0.2423,25.361,55.0,2.0,True
38,38,144,76,0.5,0.2088,0.2946,12.422,55.0,5.0,False
29,47,82,76,0.3816,0.2613,0.3102,7.074,55.0,10.0,False
63,13,760,76,0.8289,0.0765,0.1402,65.56,60.0,0.3,False
62,14,643,76,0.8158,0.0879,0.1588,55.467,60.0,0.5,False
57,19,441,76,0.75,0.1145,0.1986,38.042,60.0,1.0,True
47,29,264,76,0.6184,0.1511,0.2429,22.773,60.0,2.0,False
38,38,126,76,0.5,0.2317,0.3167,10.869,60.0,5.0,False
28,48,73,76,0.3684,0.2772,0.3164,6.297,60.0,10.0,False
63,13,662,76,0.8289,0.0869,0.1573,57.106,65.0,0.3,True
62,14,563,76,0.8158,0.0992,0.1769,48.566,65.0,0.5,False
54,22,387,76,0.7105,0.1224,0.2089,33.384,65.0,1.0,True
47,29,229,76,0.6184,0.1703,0.267,19.754,65.0,2.0,False
38,38,110,76,0.5,0.2568,0.3393,9.489,65.0,5.0,True
28,48,64,76,0.3684,0.3043,0.3333,5.521,65.0,10.0,False
62,14,564,76,0.8158,0.099,0.1766,48.652,70.0,0.3,False
56,20,481,76,0.7368,0.1043,0.1827,41.492,70.0,0.5,False
50,26,331,76,0.6579,0.1312,0.2188,28.553,70.0,1.0,False
46,30,202,76,0.6053,0.1855,0.284,17.425,70.0,2.0,True
37,39,93,76,0.4868,0.2846,0.3592,8.022,70.0,5.0,True
28,48,56,76,0.3684,0.3333,0.35,4.831,70.0,10.0,True
57,19,460,76,0.75,0.1103,0.1922,39.681,75.0,0.3,False
53,23,406,76,0.6974,0.1155,0.1981,35.023,75.0,0.5,False
49,27,282,76,0.6447,0.148,0.2408,24.326,75.0,1.0,False
41,35,164,76,0.5395,0.2,0.2918,14.147,75.0,2.0,True
35,41,79,76,0.4605,0.307,0.3684,6.815,75.0,5.0,True
27,49,47,76,0.3553,0.3649,0.36,4.054,75.0,10.0,False
51,25,371,76,0.6711,0.1209,0.2048,32.003,80.0,0.3,False
50,26,319,76,0.6579,0.1355,0.2247,27.518,80.0,0.5,False
49,27,227,76,0.6447,0.1775,0.2784,19.582,80.0,1.0,True
39,37,132,76,0.5132,0.2281,0.3158,11.387,80.0,2.0,True
34,42,63,76,0.4474,0.3505,0.3931,5.435,80.0,5.0,True
27,49,36,76,0.3553,0.4286,0.3885,3.105,80.0,10.0,True
