subject,ch_index,channel,region,hemisphere,mean_abs_z,sd_abs_z
chb03,0,FP1-F7,L-temp,L,1.0311,0.4124
chb03,1,F7-T7,L-temp,L,1.0676,0.6477
chb03,2,T7-P7,L-temp,L,1.9708,1.0063
chb03,3,P7-O1,L-temp,L,2.242,0.6748
chb03,4,FP1-F3,L-cent,L,0.9844,0.2328
chb03,5,F3-C3,L-cent,L,1.6469,0.7088
chb03,6,C3-P3,L-cent,L,1.2514,0.6227
chb03,7,P3-O1,L-cent,L,0.7205,0.4299
chb03,8,FP2-F4,R-cent,R,0.6586,0.3258
chb03,9,F4-C4,R-cent,R,0.8725,0.6942
chb03,10,C4-P4,R-cent,R,1.0778,0.7728
chb03,11,P4-O2,R-cent,R,1.8464,0.4717
chb03,12,FP2-F8,R-temp,R,0.5072,0.3395
chb03,13,F8-T8,R-temp,R,0.7411,0.5481
chb03,14,T8-P8,R-temp,R,0.6569,0.5477
chb03,15,P8-O2,R-temp,R,0.4638,0.3231
chb03,16,FZ-CZ,Mid,M,1.8703,0.5613
chb03,17,CZ-PZ,Mid,M,1.4088,1.2291
chb06,0,FP1-F7,L-temp,L,0.3146,0.1455
chb06,1,F7-T7,L-temp,L,0.7253,0.2369
chb06,2,T7-P7,L-temp,L,0.4837,0.3923
chb06,3,P7-O1,L-temp,L,0.4583,0.4157
chb06,4,FP1-F3,L-cent,L,0.6626,0.492
chb06,5,F3-C3,L-cent,L,0.8466,0.3947
chb06,6,C3-P3,L-cent,L,0.6857,0.6196
chb06,7,P3-O1,L-cent,L,0.6397,0.7149
chb06,8,FP2-F4,R-cent,R,0.6526,0.509
chb06,9,F4-C4,R-cent,R,0.5396,0.3484
chb06,10,C4-P4,R-cent,R,0.6842,0.5025
chb06,11,P4-O2,R-cent,R,0.8976,0.425
chb06,12,FP2-F8,R-temp,R,0.6723,0.4234
chb06,13,F8-T8,R-temp,R,0.5891,0.428
chb06,14,T8-P8,R-temp,R,0.7998,0.6554
chb06,15,P8-O2,R-temp,R,0.621,0.5001
chb06,16,FZ-CZ,Mid,M,0.4157,0.2883
chb06,17,CZ-PZ,Mid,M,0.6653,0.5945
chb13,0,FP1-F7,L-temp,L,3.1505,1.3683
chb13,1,F7-T7,L-temp,L,2.7517,1.1792
chb13,2,T7-P7,L-temp,L,0.9614,0.5474
chb13,3,P7-O1,L-temp,L,0.5356,0.5112
chb13,4,FP1-F3,L-cent,L,1.9985,1.0572
chb13,5,F3-C3,L-cent,L,2.9011,1.1469
chb13,6,C3-P3,L-cent,L,1.648,0.9743
chb13,7,P3-O1,L-cent,L,1.3932,0.8875
chb13,8,FP2-F4,R-cent,R,1.2879,1.5349
chb13,9,F4-C4,R-cent,R,1.3742,1.3894
chb13,10,C4-P4,R-cent,R,1.384,1.7064
chb13,11,P4-O2,R-cent,R,0.8835,0.8459
chb13,12,FP2-F8,R-temp,R,2.1139,0.9596
chb13,13,F8-T8,R-temp,R,0.4981,0.4148
chb13,14,T8-P8,R-temp,R,0.9254,0.7118
chb13,15,P8-O2,R-temp,R,0.8524,0.6348
chb13,16,FZ-CZ,Mid,M,2.0631,1.2136
chb13,17,CZ-PZ,Mid,M,1.1884,1.8338
chb14,0,FP1-F7,L-temp,L,1.7717,0.9085
chb14,1,F7-T7,L-temp,L,1.6225,0.6986
chb14,2,T7-P7,L-temp,L,0.5869,0.3684
chb14,3,P7-O1,L-temp,L,1.0317,0.3901
chb14,4,FP1-F3,L-cent,L,0.7313,0.6508
chb14,5,F3-C3,L-cent,L,0.7753,0.4472
chb14,6,C3-P3,L-cent,L,0.9363,0.5237
chb14,7,P3-O1,L-cent,L,0.3416,0.255
chb14,8,FP2-F4,R-cent,R,0.945,1.2822
chb14,9,F4-C4,R-cent,R,0.384,0.2336
chb14,10,C4-P4,R-cent,R,0.6998,0.3809
chb14,11,P4-O2,R-cent,R,0.5296,0.5662
chb14,12,FP2-F8,R-temp,R,1.9214,1.7838
chb14,13,F8-T8,R-temp,R,1.1619,0.817
chb14,14,T8-P8,R-temp,R,0.5674,0.453
chb14,15,P8-O2,R-temp,R,0.718,0.3677
chb14,16,FZ-CZ,Mid,M,0.6419,0.3046
chb14,17,CZ-PZ,Mid,M,0.8986,0.5462
chb15,0,FP1-F7,L-temp,L,2.6099,1.3344
chb15,1,F7-T7,L-temp,L,1.8065,1.3387
chb15,2,T7-P7,L-temp,L,2.7703,1.3383
chb15,3,P7-O1,L-temp,L,2.3581,1.2207
chb15,4,FP1-F3,L-cent,L,1.903,0.8724
chb15,5,F3-C3,L-cent,L,1.3144,1.0475
chb15,6,C3-P3,L-cent,L,1.92,1.0689
chb15,7,P3-O1,L-cent,L,3.6485,2.0151
chb15,8,FP2-F4,R-cent,R,1.5866,0.9354
chb15,9,F4-C4,R-cent,R,1.0479,0.9969
chb15,10,C4-P4,R-cent,R,1.1134,0.7638
chb15,11,P4-O2,R-cent,R,1.5337,1.3476
chb15,12,FP2-F8,R-temp,R,1.8736,1.0131
chb15,13,F8-T8,R-temp,R,1.5741,1.2426
chb15,14,T8-P8,R-temp,R,1.4892,1.0112
chb15,15,P8-O2,R-temp,R,1.0579,0.9502
chb15,16,FZ-CZ,Mid,M,1.0419,0.7566
chb15,17,CZ-PZ,Mid,M,0.6285,0.5308
chb16,0,FP1-F7,L-temp,L,0.7108,0.446
chb16,1,F7-T7,L-temp,L,1.9625,0.7951
chb16,2,T7-P7,L-temp,L,1.7737,1.4263
