weight,mag_pct,subject,pen_mult,n_seizures,tp,fp,n_ref,n_hyp,sensitivity,precision,f1,fp_per_day,fp_rate_full,mean_lat_s,n_inter_h
old_locked,40.0,chb03,0.3,7,7,146,7,286,1.0,0.0457516339869281,0.0875,92.4945006599208,92.20783018040409,-1.1428571428571428,37.88
old_locked,40.0,chb03,0.5,7,7,110,7,195,1.0,0.05982905982905983,0.11290322580645161,69.68763748350199,69.47165287564692,-4.0,37.88
old_locked,40.0,chb03,1.0,7,7,75,7,124,1.0,0.08536585365853659,0.15730337078651685,47.5142982842059,47.36703605157744,-15.428571428571429,37.88
old_locked,40.0,chb03,2.0,7,7,52,7,72,1.0,0.11864406779661017,0.21212121212121213,32.94324681038275,32.84114499576036,-21.142857142857142,37.88
old_locked,40.0,chb03,5.0,7,7,27,7,41,1.0,0.20588235294117646,0.34146341463414637,17.105147382314122,17.05213297856788,-21.142857142857142,37.88
old_locked,40.0,chb03,10.0,7,7,16,7,29,1.0,0.30434782608695654,0.4666666666666667,10.136383633963924,10.10496769100319,-9.714285714285714,37.88
old_locked,50.0,chb03,0.3,7,7,125,7,244,1.0,0.05303030303030303,0.10071942446043165,79.19049714034315,78.94506008596241,-1.1428571428571428,37.88
old_locked,50.0,chb03,0.5,7,7,87,7,167,1.0,0.07446808510638298,0.13861386138613863,55.11658600967884,54.94576181982984,-4.0,37.88
old_locked,50.0,chb03,1.0,7,7,63,7,107,1.0,0.1,0.18181818181818182,39.91201055873295,39.78831028332505,-15.428571428571429,37.88
old_locked,50.0,chb03,2.0,7,7,42,7,62,1.0,0.14285714285714285,0.25,26.608007039155304,26.52554018888337,-21.142857142857142,37.88
old_locked,50.0,chb03,5.0,7,7,22,7,36,1.0,0.2413793103448276,0.3888888888888889,13.937527496700396,13.894330575129384,-21.142857142857142,37.88
old_locked,50.0,chb03,10.0,7,7,13,7,26,1.0,0.35,0.5185185185185185,8.235811702595688,8.21028624894009,-9.714285714285714,37.88
old_locked,55.0,chb03,0.3,7,7,112,7,221,1.0,0.058823529411764705,0.1111111111111111,70.95468543774747,70.73477383702232,-1.1428571428571428,37.88
old_locked,55.0,chb03,0.5,7,7,77,7,153,1.0,0.08333333333333333,0.15384615384615385,48.78134623845139,48.63015701295284,-4.0,37.88
old_locked,55.0,chb03,1.0,7,7,56,7,98,1.0,0.1111111111111111,0.2,35.477342718873736,35.36738691851116,-15.428571428571429,37.88
old_locked,55.0,chb03,2.0,7,7,37,7,57,1.0,0.1590909090909091,0.27450980392156865,23.440387153541575,23.367737785444874,-21.142857142857142,37.88
old_locked,55.0,chb03,5.0,7,7,19,7,33,1.0,0.2692307692307692,0.42424242424242425,12.03695556533216,11.999649133066287,-21.142857142857142,37.88
old_locked,55.0,chb03,10.0,7,7,11,7,24,1.0,0.3888888888888889,0.56,6.968763748350198,6.947165287564692,-9.714285714285714,37.88
old_locked,60.0,chb03,0.3,7,7,94,7,200,1.0,0.06930693069306931,0.12962962962962962,59.55125384953806,59.366685184643735,-1.1428571428571428,37.88
old_locked,60.0,chb03,0.5,7,7,66,7,139,1.0,0.0958904109589041,0.175,41.812582490101185,41.68299172538815,-4.0,37.88
old_locked,60.0,chb03,1.0,7,7,48,7,89,1.0,0.12727272727272726,0.22580645161290322,30.409150901891778,30.314903073009564,-15.428571428571429,37.88
old_locked,60.0,chb03,2.0,7,7,32,7,52,1.0,0.1794871794871795,0.30434782608695654,20.272767267927847,20.20993538200638,-21.142857142857142,37.88
old_locked,60.0,chb03,5.0,7,7,17,7,31,1.0,0.2916666666666667,0.45161290322580644,10.76990761108667,10.736528171690887,-21.142857142857142,37.88
old_locked,60.0,chb03,10.0,7,7,10,7,23,1.0,0.4117647058823529,0.5833333333333334,6.335239771227453,6.315604806876992,-9.714285714285714,37.88
old_locked,65.0,chb03,0.3,7,7,80,7,179,1.0,0.08045977011494253,0.14893617021276595,50.681918169819625,50.52483845501594,-1.1428571428571428,37.88
old_locked,65.0,chb03,0.5,7,7,56,7,125,1.0,0.1111111111111111,0.2,35.477342718873736,35.36738691851116,-4.0,37.88
old_locked,65.0,chb03,1.0,7,7,44,7,80,1.0,0.13725490196078433,0.2413793103448276,27.87505499340079,27.78866115025877,-15.428571428571429,37.88
old_locked,65.0,chb03,2.0,7,7,27,7,47,1.0,0.20588235294117646,0.34146341463414637,17.105147382314122,17.05213297856788,-21.142857142857142,37.88
old_locked,65.0,chb03,5.0,7,7,14,7,28,1.0,0.3333333333333333,0.5,8.869335679718434,8.84184672962779,-21.142857142857142,37.88
old_locked,65.0,chb03,10.0,7,7,8,7,21,1.0,0.4666666666666667,0.6363636363636364,5.068191816981962,5.052483845501595,-9.714285714285714,37.88
old_locked,70.0,chb03,0.3,7,7,65,7,157,1.0,0.09722222222222222,0.17721518987341772,41.17905851297844,41.05143124470045,-1.1428571428571428,37.88
old_locked,70.0,chb03,0.5,7,7,48,7,111,1.0,0.12727272727272726,0.22580645161290322,30.409150901891778,30.314903073009564,-4.0,37.88
old_locked,70.0,chb03,1.0,7,7,36,7,71,1.0,0.16279069767441862,0.28,22.80686317641883,22.736177304757174,-15.428571428571429,37.88
old_locked,70.0,chb03,2.0,7,7,22,7,42,1.0,0.2413793103448276,0.3888888888888889,13.937527496700396,13.894330575129384,-21.142857142857142,37.88
old_locked,70.0,chb03,5.0,7,7,12,7,26,1.0,0.3684210526315789,0.5384615384615384,7.602287725472944,7.578725768252391,-21.142857142857142,37.88
old_locked,70.0,chb03,10.0,7,7,7,7,20,1.0,0.5,0.6666666666666666,4.434667839859217,4.420923364813895,-9.714285714285714,37.88
old_locked,75.0,chb03,0.3,7,7,50,7,136,1.0,0.12280701754385964,0.21875,31.676198856137265,31.578024034384963,-1.1428571428571428,37.88
old_locked,75.0,chb03,0.5,7,7,41,7,97,1.0,0.14583333333333334,0.2545454545454545,25.974483062032554,25.89397970819567,-4.0,37.88
old_locked,75.0,chb03,1.0,7,7,32,7,63,1.0,0.1794871794871795,0.30434782608695654,20.272767267927847,20.20993538200638,-15.428571428571429,37.88
old_locked,75.0,chb03,2.0,7,7,20,7,37,1.0,0.25925925925925924,0.4117647058823529,12.670479542454906,12.631209613753985,-21.142857142857142,37.88
