weight,mag_pct,pen_mult,TP,FN,FP,n_seizures,sensitivity,precision,f1,fp_per_day,on_pareto_frontier
old_locked,40.0,0.3,66,10,1171,76,0.8684,0.0534,0.1005,101.014,False
old_locked,40.0,0.5,66,10,968,76,0.8684,0.0638,0.1189,83.502,True
old_locked,40.0,1.0,58,18,678,76,0.7632,0.0788,0.1429,58.486,False
old_locked,40.0,2.0,51,25,426,76,0.6711,0.1069,0.1844,36.748,False
old_locked,40.0,5.0,38,38,195,76,0.5,0.1631,0.246,16.821,False
old_locked,40.0,10.0,30,46,112,76,0.3947,0.2113,0.2752,9.661,False
old_locked,50.0,0.3,66,10,991,76,0.8684,0.0624,0.1165,85.486,False
old_locked,50.0,0.5,64,12,814,76,0.8421,0.0729,0.1342,70.218,True
old_locked,50.0,1.0,57,19,563,76,0.75,0.0919,0.1638,48.566,False
old_locked,50.0,2.0,48,28,348,76,0.6316,0.1212,0.2034,30.019,False
old_locked,50.0,5.0,38,38,163,76,0.5,0.1891,0.2744,14.061,False
old_locked,50.0,10.0,30,46,92,76,0.3947,0.2459,0.303,7.936,False
old_locked,55.0,0.3,65,11,900,76,0.8553,0.0674,0.1249,77.636,True
old_locked,55.0,0.5,61,15,732,76,0.8026,0.0769,0.1404,63.144,False
old_locked,55.0,1.0,57,19,506,76,0.75,0.1012,0.1784,43.649,True
old_locked,55.0,2.0,48,28,312,76,0.6316,0.1333,0.2202,26.914,False
old_locked,55.0,5.0,38,38,144,76,0.5,0.2088,0.2946,12.422,False
old_locked,55.0,10.0,29,47,80,76,0.3816,0.2661,0.3135,6.901,False
old_locked,60.0,0.3,62,14,786,76,0.8158,0.0731,0.1342,67.802,True
old_locked,60.0,0.5,61,15,651,76,0.8026,0.0857,0.1548,56.157,True
old_locked,60.0,1.0,54,22,455,76,0.7105,0.1061,0.1846,39.25,True
old_locked,60.0,2.0,48,28,279,76,0.6316,0.1468,0.2382,24.067,False
old_locked,60.0,5.0,38,38,126,76,0.5,0.2317,0.3167,10.869,True
old_locked,60.0,10.0,28,48,70,76,0.3684,0.2857,0.3218,6.038,False
old_locked,65.0,0.3,61,15,686,76,0.8026,0.0817,0.1482,59.176,False
old_locked,65.0,0.5,60,16,567,76,0.7895,0.0957,0.1707,48.911,True
old_locked,65.0,1.0,52,24,402,76,0.6842,0.1145,0.1962,34.678,False
old_locked,65.0,2.0,48,28,242,76,0.6316,0.1655,0.2623,20.876,True
old_locked,65.0,5.0,37,39,108,76,0.4868,0.2552,0.3348,9.316,True
old_locked,65.0,10.0,28,48,61,76,0.3684,0.3146,0.3394,5.262,False
old_locked,70.0,0.3,60,16,578,76,0.7895,0.094,0.1681,49.86,False
old_locked,70.0,0.5,55,21,492,76,0.7237,0.1005,0.1766,42.441,True
old_locked,70.0,1.0,52,24,348,76,0.6842,0.13,0.2185,30.019,True
old_locked,70.0,2.0,45,31,206,76,0.5921,0.1793,0.2752,17.77,True
old_locked,70.0,5.0,35,41,91,76,0.4605,0.2778,0.3465,7.85,False
old_locked,70.0,10.0,28,48,53,76,0.3684,0.3457,0.3567,4.572,False
old_locked,75.0,0.3,54,22,483,76,0.7105,0.1006,0.1762,41.665,False
old_locked,75.0,0.5,52,24,412,76,0.6842,0.1121,0.1926,35.54,False
old_locked,75.0,1.0,48,28,292,76,0.6316,0.1412,0.2308,25.189,False
old_locked,75.0,2.0,42,34,172,76,0.5526,0.1963,0.2897,14.837,True
old_locked,75.0,5.0,35,41,77,76,0.4605,0.3125,0.3723,6.642,False
old_locked,75.0,10.0,28,48,45,76,0.3684,0.3836,0.3758,3.882,True
old_locked,80.0,0.3,51,25,388,76,0.6711,0.1162,0.1981,33.47,False
old_locked,80.0,0.5,49,27,328,76,0.6447,0.13,0.2163,28.294,True
old_locked,80.0,1.0,47,29,231,76,0.6184,0.1691,0.2655,19.927,True
old_locked,80.0,2.0,39,37,134,76,0.5132,0.2254,0.3133,11.559,True
old_locked,80.0,5.0,35,41,62,76,0.4605,0.3608,0.4046,5.348,True
old_locked,80.0,10.0,25,51,37,76,0.3289,0.4032,0.3623,3.192,True
new_decision19,40.0,0.3,68,8,1188,76,0.8947,0.0541,0.1021,102.48,True
new_decision19,40.0,0.5,66,10,981,76,0.8684,0.063,0.1175,84.624,True
new_decision19,40.0,1.0,58,18,685,76,0.7632,0.0781,0.1416,59.09,False
new_decision19,40.0,2.0,53,23,406,76,0.6974,0.1155,0.1981,35.023,True
new_decision19,40.0,5.0,39,37,193,76,0.5132,0.1681,0.2532,16.649,False
new_decision19,40.0,10.0,26,50,112,76,0.3421,0.1884,0.243,9.661,False
new_decision19,50.0,0.3,65,11,1013,76,0.8553,0.0603,0.1127,87.384,False
new_decision19,50.0,0.5,63,13,826,76,0.8289,0.0709,0.1306,71.253,True
new_decision19,50.0,1.0,58,18,579,76,0.7632,0.0911,0.1627,49.946,False
new_decision19,50.0,2.0,51,25,335,76,0.6711,0.1321,0.2208,28.898,True
new_decision19,50.0,5.0,38,38,160,76,0.5,0.1919,0.2774,13.802,False
new_decision19,50.0,10.0,26,50,91,76,0.3421,0.2222,0.2694,7.85,False
new_decision19,55.0,0.3,64,12,912,76,0.8421,0.0656,0.1217,78.672,True
new_decision19,55.0,0.5,61,15,753,76,0.8026,0.0749,0.1371,64.956,False
new_decision19,55.0,1.0,57,19,520,76,0.75,0.0988,0.1746,44.857,False
new_decision19,55.0,2.0,49,27,298,76,0.6447,0.1412,0.2317,25.706,True
new_decision19,55.0,5.0,38,38,141,76,0.5,0.2123,0.298,12.163,False
new_decision19,55.0,10.0,25,51,80,76,0.3289,0.2381,0.2762,6.901,False
new_decision19,60.0,0.3,63,13,826,76,0.8289,0.0709,0.1306,71.253,True
new_decision19,60.0,0.5,61,15,679,76,0.8026,0.0824,0.1495,58.572,False
new_decision19,60.0,1.0,57,19,461,76,0.75,0.11,0.1919,39.767,True
new_decision19,60.0,2.0,47,29,266,76,0.6184,0.1502,0.2416,22.946,False
new_decision19,60.0,5.0,38,38,125,76,0.5,0.2331,0.318,10.783,True
new_decision19,60.0,10.0,23,53,70,76,0.3026,0.2473,0.2722,6.038,False
new_decision19,65.0,0.3,61,15,730,76,0.8026,0.0771,0.1407,62.972,False
new_decision19,65.0,0.5,61,15,595,76,0.8026,0.093,0.1667,51.326,True
new_decision19,65.0,1.0,54,22,411,76,0.7105,0.1161,0.1996,35.454,False
new_decision19,65.0,2.0,47,29,229,76,0.6184,0.1703,0.267,19.754,True
new_decision19,65.0,5.0,36,40,105,76,0.4737,0.2553,0.3318,9.058,True
new_decision19,65.0,10.0,23,53,62,76,0.3026,0.2706,0.2857,5.348,False
new_decision19,70.0,0.3,61,15,622,76,0.8026,0.0893,0.1607,53.655,False
new_decision19,70.0,0.5,59,17,505,76,0.7763,0.1046,0.1844,43.563,True
new_decision19,70.0,1.0,49,27,353,76,0.6447,0.1219,0.205,30.451,False
new_decision19,70.0,2.0,44,32,195,76,0.5789,0.1841,0.2794,16.821,True
new_decision19,70.0,5.0,35,41,91,76,0.4605,0.2778,0.3465,7.85,False
new_decision19,70.0,10.0,23,53,53,76,0.3026,0.3026,0.3026,4.572,False
new_decision19,75.0,0.3,59,17,512,76,0.7763,0.1033,0.1824,44.166,False
new_decision19,75.0,0.5,54,22,427,76,0.7105,0.1123,0.1939,36.834,False
new_decision19,75.0,1.0,48,28,294,76,0.6316,0.1404,0.2297,25.361,False
new_decision19,75.0,2.0,41,35,165,76,0.5395,0.199,0.2908,14.233,True
new_decision19,75.0,5.0,35,41,77,76,0.4605,0.3125,0.3723,6.642,True
new_decision19,75.0,10.0,23,53,45,76,0.3026,0.3382,0.3194,3.882,False
new_decision19,80.0,0.3,54,22,407,76,0.7105,0.1171,0.2011,35.109,True
new_decision19,80.0,0.5,47,29,339,76,0.6184,0.1218,0.2035,29.243,False
new_decision19,80.0,1.0,48,28,237,76,0.6316,0.1684,0.2659,20.444,True
new_decision19,80.0,2.0,39,37,131,76,0.5132,0.2294,0.3171,11.3,True
new_decision19,80.0,5.0,32,44,63,76,0.4211,0.3368,0.3743,5.435,True
new_decision19,80.0,10.0,23,53,36,76,0.3026,0.3898,0.3407,3.105,True
