point,w_recon,w_temp,w_gamma,seed,sensitivity,fp_per_day,tp,n_seizures
locked,0.35,0.3,0.35,0,0.7105,39.25,54,76
locked,0.35,0.3,0.35,1,0.6579,39.16,50,76
locked,0.35,0.3,0.35,2,0.6447,39.34,49,76
locked,0.35,0.3,0.35,3,0.6974,39.25,53,76
locked,0.35,0.3,0.35,4,0.6579,39.25,50,76
locked,0.35,0.3,0.35,5,0.6711,39.34,51,76
locked,0.35,0.3,0.35,6,0.6974,39.08,53,76
locked,0.35,0.3,0.35,7,0.6711,39.25,51,76
cand_1,0.4,0.35,0.25,0,0.75,39.77,57,76
cand_1,0.4,0.35,0.25,1,0.6974,39.59,53,76
cand_1,0.4,0.35,0.25,2,0.6579,39.94,50,76
cand_1,0.4,0.35,0.25,3,0.7237,39.51,55,76
cand_1,0.4,0.35,0.25,4,0.6842,39.77,52,76
cand_1,0.4,0.35,0.25,5,0.6974,39.68,53,76
cand_1,0.4,0.35,0.25,6,0.7105,39.77,54,76
cand_1,0.4,0.35,0.25,7,0.6579,39.94,50,76
cand_2,0.35,0.35,0.3,0,0.7368,41.15,56,76
cand_2,0.35,0.35,0.3,1,0.7105,40.8,54,76
cand_2,0.35,0.35,0.3,2,0.6711,40.89,51,76
cand_2,0.35,0.35,0.3,3,0.7105,41.15,54,76
cand_2,0.35,0.35,0.3,4,0.6842,40.89,52,76
cand_2,0.35,0.35,0.3,5,0.6711,41.06,51,76
cand_2,0.35,0.35,0.3,6,0.7105,40.97,54,76
cand_2,0.35,0.35,0.3,7,0.6711,40.97,51,76
cand_3,0.35,0.4,0.25,0,0.7368,42.01,56,76
cand_3,0.35,0.4,0.25,1,0.7237,41.92,55,76
cand_3,0.35,0.4,0.25,2,0.6447,42.01,49,76
cand_3,0.35,0.4,0.25,3,0.7105,41.84,54,76
cand_3,0.35,0.4,0.25,4,0.6842,41.84,52,76
cand_3,0.35,0.4,0.25,5,0.6842,41.75,52,76
cand_3,0.35,0.4,0.25,6,0.7105,42.01,54,76
cand_3,0.35,0.4,0.25,7,0.6711,41.92,51,76
cand_4,0.4,0.4,0.2,0,0.7368,40.89,56,76
cand_4,0.4,0.4,0.2,1,0.7237,40.8,55,76
cand_4,0.4,0.4,0.2,2,0.6579,40.8,50,76
cand_4,0.4,0.4,0.2,3,0.7105,40.63,54,76
cand_4,0.4,0.4,0.2,4,0.6711,40.54,51,76
cand_4,0.4,0.4,0.2,5,0.6974,40.89,53,76
cand_4,0.4,0.4,0.2,6,0.7105,40.89,54,76
cand_4,0.4,0.4,0.2,7,0.6447,40.97,49,76
cand_5,0.45,0.35,0.2,0,0.7368,38.82,56,76
cand_5,0.45,0.35,0.2,1,0.7237,38.65,55,76
cand_5,0.45,0.35,0.2,2,0.6447,38.73,49,76
cand_5,0.45,0.35,0.2,3,0.6842,38.21,52,76
cand_5,0.45,0.35,0.2,4,0.6974,38.56,53,76
cand_5,0.45,0.35,0.2,5,0.7105,38.56,54,76
cand_5,0.45,0.35,0.2,6,0.7105,38.9,54,76
cand_5,0.45,0.35,0.2,7,0.6579,38.56,50,76
