w_recon,w_temp,w_gamma,sensitivity,tp,n_seizures,fp_per_day,is_locked_point
0.05,0.3,0.65,0.6053,46,76,35.02,False
0.05,0.35,0.6,0.6447,49,76,35.88,False
0.05,0.4,0.55,0.6579,50,76,36.14,False
0.05,0.45,0.5,0.6579,50,76,37.01,False
0.05,0.5,0.45,0.6711,51,76,38.82,False
0.05,0.55,0.4,0.6447,49,76,40.97,False
0.05,0.6,0.35,0.6316,48,76,42.18,False
0.1,0.25,0.65,0.6316,48,76,35.54,False
0.1,0.3,0.6,0.6579,50,76,35.71,False
0.1,0.35,0.55,0.6711,51,76,37.35,False
0.1,0.4,0.5,0.6842,52,76,38.39,False
0.1,0.45,0.45,0.6974,53,76,38.99,False
0.1,0.5,0.4,0.6974,53,76,40.89,False
0.1,0.55,0.35,0.6711,51,76,42.53,False
0.1,0.6,0.3,0.6447,49,76,44.25,False
0.15,0.2,0.65,0.6053,46,76,35.11,False
0.15,0.25,0.6,0.6711,51,76,35.97,False
0.15,0.3,0.55,0.6842,52,76,37.27,False
0.15,0.35,0.5,0.6974,53,76,37.96,False
0.15,0.4,0.45,0.7105,54,76,39.51,False
0.15,0.45,0.4,0.6974,53,76,40.37,False
0.15,0.5,0.35,0.7105,54,76,42.61,False
0.15,0.55,0.3,0.6974,53,76,44.6,False
0.15,0.6,0.25,0.6579,50,76,47.1,False
0.2,0.15,0.65,0.6053,46,76,36.06,False
0.2,0.2,0.6,0.6711,51,76,35.8,False
0.2,0.25,0.55,0.6974,53,76,36.49,False
0.2,0.3,0.5,0.7105,54,76,37.7,False
0.2,0.35,0.45,0.6974,53,76,39.85,False
0.2,0.4,0.4,0.7237,55,76,40.8,False
0.2,0.45,0.35,0.7237,55,76,42.7,False
0.2,0.5,0.3,0.7368,56,76,44.6,False
0.2,0.55,0.25,0.7237,55,76,47.1,False
0.2,0.6,0.2,0.6711,51,76,48.57,False
0.25,0.1,0.65,0.6316,48,76,36.23,False
0.25,0.15,0.6,0.6579,50,76,36.32,False
0.25,0.2,0.55,0.6974,53,76,37.18,False
0.25,0.25,0.5,0.7105,54,76,37.78,False
0.25,0.3,0.45,0.7105,54,76,38.3,False
0.25,0.35,0.4,0.6974,53,76,40.11,False
0.25,0.4,0.35,0.7105,54,76,42.18,False
0.25,0.45,0.3,0.75,57,76,43.04,False
0.25,0.5,0.25,0.7368,56,76,45.63,False
0.25,0.55,0.2,0.7105,54,76,47.96,False
0.25,0.6,0.15,0.6974,53,76,48.91,False
0.3,0.05,0.65,0.6184,47,76,35.8,False
0.3,0.1,0.6,0.6579,50,76,35.97,False
0.3,0.15,0.55,0.6842,52,76,36.49,False
0.3,0.2,0.5,0.7105,54,76,37.27,False
0.3,0.25,0.45,0.6842,52,76,37.78,False
0.3,0.3,0.4,0.6974,53,76,38.65,False
0.3,0.35,0.35,0.7237,55,76,41.23,False
0.3,0.4,0.3,0.7368,56,76,42.44,False
0.3,0.45,0.25,0.7368,56,76,43.65,False
0.3,0.5,0.2,0.7237,55,76,45.72,False
0.3,0.55,0.15,0.6974,53,76,46.75,False
0.3,0.6,0.1,0.6974,53,76,47.27,False
0.35,0.0,0.65,0.6184,47,76,36.66,False
0.35,0.05,0.6,0.6184,47,76,35.88,False
0.35,0.1,0.55,0.6579,50,76,35.37,False
0.35,0.15,0.5,0.6579,50,76,36.14,False
0.35,0.2,0.45,0.6711,51,76,36.66,False
0.35,0.25,0.4,0.6842,52,76,37.61,False
0.35,0.3,0.35,0.7105,54,76,39.25,True
0.35,0.35,0.3,0.7368,56,76,41.15,False
0.35,0.4,0.25,0.7368,56,76,42.01,False
0.35,0.45,0.2,0.7105,54,76,43.3,False
0.35,0.5,0.15,0.6974,53,76,45.37,False
0.35,0.55,0.1,0.7105,54,76,44.94,False
0.35,0.6,0.05,0.6974,53,76,45.11,False
0.4,0.0,0.6,0.6316,48,76,36.14,False
0.4,0.05,0.55,0.6316,48,76,35.45,False
0.4,0.1,0.5,0.6316,48,76,35.28,False
0.4,0.15,0.45,0.6316,48,76,35.63,False
0.4,0.2,0.4,0.6711,51,76,36.32,False
0.4,0.25,0.35,0.6974,53,76,37.7,False
0.4,0.3,0.3,0.7105,54,76,39.08,False
0.4,0.35,0.25,0.75,57,76,39.77,False
0.4,0.4,0.2,0.7368,56,76,40.89,False
0.4,0.45,0.15,0.7237,55,76,42.27,False
0.4,0.5,0.1,0.7105,54,76,42.7,False
0.4,0.55,0.05,0.6711,51,76,43.73,False
0.45,0.0,0.55,0.6053,46,76,34.85,False
0.45,0.05,0.5,0.6316,48,76,34.16,False
0.45,0.1,0.45,0.6447,49,76,34.94,False
0.45,0.15,0.4,0.6447,49,76,35.37,False
0.45,0.2,0.35,0.6579,50,76,35.19,False
0.45,0.25,0.3,0.6711,51,76,36.49,False
0.45,0.3,0.25,0.7105,54,76,37.78,False
0.45,0.35,0.2,0.7368,56,76,38.82,False
0.45,0.4,0.15,0.75,57,76,39.94,False
0.45,0.45,0.1,0.7368,56,76,40.8,False
0.45,0.5,0.05,0.6974,53,76,41.75,False
0.5,0.0,0.5,0.6316,48,76,34.59,False
0.5,0.05,0.45,0.5921,45,76,34.59,False
0.5,0.1,0.4,0.6316,48,76,34.25,False
0.5,0.15,0.35,0.6316,48,76,33.56,False
0.5,0.2,0.3,0.6447,49,76,34.59,False
0.5,0.25,0.25,0.6842,52,76,35.71,False
0.5,0.3,0.2,0.7105,54,76,37.01,False
0.5,0.35,0.15,0.7368,56,76,37.27,False
0.5,0.4,0.1,0.7105,54,76,38.3,False
0.5,0.45,0.05,0.7368,56,76,38.65,False
0.55,0.0,0.45,0.6184,47,76,33.3,False
0.55,0.05,0.4,0.6184,47,76,33.38,False
0.55,0.1,0.35,0.6184,47,76,33.21,False
0.55,0.15,0.3,0.6184,47,76,33.3,False
0.55,0.2,0.25,0.6711,51,76,34.42,False
0.55,0.25,0.2,0.6711,51,76,34.76,False
0.55,0.3,0.15,0.6974,53,76,36.4,False
0.55,0.35,0.1,0.6974,53,76,36.32,False
0.55,0.4,0.05,0.6974,53,76,36.66,False
0.6,0.0,0.4,0.6184,47,76,33.3,False
0.6,0.05,0.35,0.6316,48,76,32.69,False
0.6,0.1,0.3,0.6447,49,76,33.56,False
0.6,0.15,0.25,0.6447,49,76,33.47,False
0.6,0.2,0.2,0.6447,49,76,33.81,False
0.6,0.25,0.15,0.6711,51,76,34.68,False
0.6,0.3,0.1,0.6711,51,76,34.25,False
0.6,0.35,0.05,0.6711,51,76,34.76,False
0.65,0.0,0.35,0.6184,47,76,33.3,False
0.65,0.05,0.3,0.6579,50,76,32.87,False
0.65,0.1,0.25,0.6447,49,76,32.52,False
0.65,0.15,0.2,0.6184,47,76,32.69,False
0.65,0.2,0.15,0.6447,49,76,32.43,False
0.65,0.25,0.1,0.6579,50,76,32.95,False
