subject,event_type,onset_s,n_views,would_be_removed
chb03,FP,180,1,True
chb03,FP,4000,3,False
chb03,FP,7420,3,False
chb03,FP,10880,3,False
chb03,FP,11780,3,False
chb03,FP,11960,1,True
chb03,FP,12120,3,False
chb03,FP,14580,3,False
chb03,FP,14720,3,False
chb03,FP,14820,3,False
chb03,FP,15120,3,False
chb03,FP,15240,3,False
chb03,FP,15680,2,False
chb03,FP,15780,3,False
chb03,FP,15960,2,False
chb03,FP,19260,3,False
chb03,FP,19740,2,False
chb03,FP,21340,3,False
chb03,FP,21560,3,False
chb03,FP,23840,3,False
chb03,FP,24420,2,False
chb03,FP,25600,1,True
chb03,FP,30100,3,False
chb03,FP,30260,3,False
chb03,FP,30480,3,False
chb03,FP,31140,0,True
chb03,FP,33740,1,True
chb03,FP,46380,1,True
chb03,FP,49820,0,True
chb03,FP,50300,2,False
chb03,FP,50860,2,False
chb03,FP,51260,1,True
chb03,FP,51580,2,False
chb03,FP,51780,1,True
chb03,FP,53640,1,True
chb03,FP,54640,1,True
chb03,FP,54920,3,False
chb03,FP,55080,2,False
chb03,FP,55180,1,True
chb03,FP,55420,1,True
chb03,FP,55520,2,False
chb03,FP,59300,1,True
chb03,FP,60640,2,False
chb03,FP,64260,2,False
chb03,FP,65460,2,False
chb03,FP,66440,1,True
chb03,FP,66820,1,True
chb03,FP,67080,1,True
chb03,FP,67200,0,True
chb03,FP,68740,0,True
chb03,FP,69400,1,True
chb03,FP,70100,2,False
chb03,FP,70240,1,True
chb03,FP,71240,1,True
chb03,FP,71800,1,True
chb03,FP,71980,1,True
chb03,FP,72140,1,True
chb03,FP,72300,1,True
chb03,FP,78820,2,False
chb03,FP,79320,2,False
chb03,TP,340,2,False
chb03,TP,4300,3,False
chb03,TP,7620,3,False
chb03,TP,12940,3,False
chb03,TP,120760,3,False
chb03,TP,124980,2,False
chb03,TP,127700,3,False
chb06,FP,16060,2,False
chb06,FP,18840,1,True
chb06,FP,20620,2,False
chb06,FP,20720,1,True
chb06,FP,21200,1,True
chb06,FP,23180,1,True
chb06,FP,25260,1,True
chb06,FP,27360,3,False
chb06,FP,28520,1,True
chb06,FP,29060,1,True
chb06,FP,34940,2,False
chb06,FP,36320,1,True
chb06,FP,36980,1,True
chb06,FP,41540,2,False
chb06,FP,42160,2,False
chb06,FP,42480,3,False
chb06,FP,42780,1,True
chb06,FP,42900,1,True
chb06,FP,43360,2,False
chb06,FP,56680,0,True
chb06,FP,57180,1,True
chb06,FP,60260,2,False
chb06,FP,60360,2,False
chb06,FP,62300,1,True
chb06,FP,62440,2,False
chb06,FP,63420,0,True
chb06,FP,64140,1,True
chb06,FP,64800,1,True
chb06,FP,65260,2,False
chb06,FP,65960,2,False
chb06,FP,66440,2,False
chb06,FP,67240,3,False
chb06,FP,71440,1,True
chb06,FP,73520,3,False
chb06,FP,77580,1,True
chb06,FP,80280,1,True
chb06,FP,82920,1,True
chb06,FP,84540,1,True
chb06,FP,85080,1,True
