P,subject,tp,fp,n_seizures
0,chb03,7,49,7
0,chb06,3,90,10
0,chb13,10,55,12
0,chb14,7,86,8
0,chb15,19,59,20
0,chb16,4,24,10
0,chb17,2,30,3
0,chb18,5,68,6
10,chb03,7,49,7
10,chb06,3,90,10
10,chb13,10,55,12
10,chb14,7,86,8
10,chb15,19,59,20
10,chb16,4,24,10
10,chb17,2,30,3
10,chb18,5,68,6
20,chb03,7,38,7
20,chb06,3,90,10
20,chb13,10,55,12
20,chb14,7,86,8
20,chb15,19,59,20
20,chb16,4,24,10
20,chb17,2,30,3
20,chb18,5,68,6
30,chb03,7,33,7
30,chb06,3,90,10
30,chb13,10,40,12
30,chb14,7,86,8
30,chb15,19,59,20
30,chb16,4,24,10
30,chb17,2,22,3
30,chb18,5,68,6
40,chb03,7,30,7
40,chb06,1,59,10
40,chb13,10,36,12
40,chb14,4,60,8
40,chb15,19,36,20
40,chb16,2,15,10
40,chb17,2,18,3
40,chb18,5,68,6
50,chb03,7,25,7
50,chb06,1,49,10
50,chb13,10,30,12
50,chb14,4,50,8
50,chb15,18,32,20
50,chb16,2,15,10
50,chb17,2,14,3
50,chb18,5,36,6
60,chb03,7,20,7
60,chb06,1,39,10
60,chb13,10,23,12
60,chb14,3,39,8
60,chb15,18,24,20
60,chb16,2,12,10
60,chb17,2,10,3
60,chb18,5,32,6
65,chb03,7,18,7
65,chb06,0,36,10
65,chb13,9,21,12
65,chb14,3,36,8
65,chb15,17,21,20
65,chb16,2,11,10
65,chb17,2,7,3
65,chb18,5,28,6
70,chb03,7,15,7
70,chb06,0,31,10
70,chb13,8,17,12
70,chb14,3,30,8
70,chb15,17,19,20
70,chb16,2,10,10
70,chb17,2,6,3
70,chb18,5,24,6
72.5,chb03,7,14,7
72.5,chb06,0,28,10
72.5,chb13,8,15,12
72.5,chb14,3,27,8
72.5,chb15,16,18,20
72.5,chb16,1,9,10
72.5,chb17,2,5,3
72.5,chb18,5,22,6
75,chb03,7,12,7
75,chb06,0,25,10
75,chb13,8,14,12
75,chb14,3,25,8
75,chb15,16,16,20
75,chb16,1,8,10
75,chb17,2,4,3
75,chb18,5,22,6
77.5,chb03,7,11,7
77.5,chb06,0,22,10
77.5,chb13,6,12,12
77.5,chb14,3,22,8
77.5,chb15,16,14,20
77.5,chb16,1,7,10
77.5,chb17,2,2,3
77.5,chb18,5,19,6
80,chb03,6,10,7
80,chb06,0,20,10
80,chb13,6,11,12
80,chb14,3,19,8
80,chb15,16,12,20
80,chb16,1,7,10
80,chb17,2,2,3
80,chb18,5,17,6
85,chb03,6,8,7
85,chb06,0,16,10
85,chb13,4,8,12
85,chb14,2,14,8
85,chb15,15,10,20
85,chb16,1,5,10
85,chb17,0,2,3
85,chb18,5,13,6
90,chb03,5,5,7
90,chb06,0,11,10
90,chb13,1,6,12
90,chb14,1,11,8
90,chb15,15,6,20
90,chb16,0,4,10
90,chb17,0,2,3
90,chb18,5,8,6
92.5,chb03,4,4,7
92.5,chb06,0,8,10
92.5,chb13,1,5,12
92.5,chb14,1,8,8
92.5,chb15,15,5,20
92.5,chb16,0,3,10
92.5,chb17,0,2,3
92.5,chb18,5,6,6
95,chb03,3,2,7
95,chb06,0,5,10
95,chb13,0,3,12
95,chb14,1,5,8
95,chb15,15,3,20
95,chb16,0,2,10
95,chb17,0,1,3
95,chb18,5,4,6
97.5,chb03,2,0,7
97.5,chb06,0,2,10
97.5,chb13,0,2,12
97.5,chb14,1,2,8
97.5,chb15,9,1,20
97.5,chb16,0,1,10
97.5,chb17,0,1,3
97.5,chb18,5,2,6
