P,subject,tp,fp,n_seizures
28,chb03,7,35,7
28,chb06,3,90,10
28,chb13,10,41,12
28,chb14,7,86,8
28,chb15,19,59,20
28,chb16,4,24,10
28,chb17,2,23,3
28,chb18,5,68,6
29,chb03,7,34,7
29,chb06,3,90,10
29,chb13,10,41,12
29,chb14,7,86,8
29,chb15,19,59,20
29,chb16,4,24,10
29,chb17,2,23,3
29,chb18,5,68,6
30,chb03,7,33,7
30,chb06,3,90,10
30,chb13,10,40,12
30,chb14,7,86,8
30,chb15,19,59,20
30,chb16,4,24,10
30,chb17,2,22,3
30,chb18,5,68,6
31,chb03,7,33,7
31,chb06,3,90,10
31,chb13,10,39,12
31,chb14,7,86,8
31,chb15,19,59,20
31,chb16,4,24,10
31,chb17,2,22,3
31,chb18,5,68,6
32,chb03,7,32,7
32,chb06,3,90,10
32,chb13,10,39,12
32,chb14,7,86,8
32,chb15,19,59,20
32,chb16,4,24,10
32,chb17,2,21,3
32,chb18,5,68,6
33,chb03,7,31,7
33,chb06,3,90,10
33,chb13,10,39,12
33,chb14,7,86,8
33,chb15,19,59,20
33,chb16,4,24,10
33,chb17,2,21,3
33,chb18,5,68,6
34,chb03,7,31,7
34,chb06,2,64,10
34,chb13,10,38,12
34,chb14,7,86,8
34,chb15,19,40,20
34,chb16,2,16,10
34,chb17,2,20,3
34,chb18,5,68,6
35,chb03,7,31,7
35,chb06,1,63,10
35,chb13,10,38,12
35,chb14,4,64,8
35,chb15,19,40,20
35,chb16,2,16,10
35,chb17,2,20,3
35,chb18,5,68,6
36,chb03,7,30,7
36,chb06,1,62,10
36,chb13,10,38,12
36,chb14,4,63,8
36,chb15,19,39,20
36,chb16,2,16,10
36,chb17,2,19,3
36,chb18,5,68,6
37,chb03,7,30,7
37,chb06,1,61,10
37,chb13,10,38,12
37,chb14,4,63,8
37,chb15,19,38,20
37,chb16,2,15,10
37,chb17,2,19,3
37,chb18,5,68,6
38,chb03,7,30,7
38,chb06,1,60,10
38,chb13,10,37,12
38,chb14,4,62,8
38,chb15,19,37,20
38,chb16,2,15,10
38,chb17,2,18,3
38,chb18,5,68,6
39,chb03,7,30,7
39,chb06,1,60,10
39,chb13,10,36,12
39,chb14,4,61,8
39,chb15,19,37,20
39,chb16,2,15,10
39,chb17,2,18,3
39,chb18,5,68,6
40,chb03,7,30,7
40,chb06,1,59,10
40,chb13,10,36,12
40,chb14,4,60,8
40,chb15,19,36,20
40,chb16,2,15,10
40,chb17,2,18,3
40,chb18,5,68,6
41,chb03,7,29,7
41,chb06,1,57,10
41,chb13,10,35,12
41,chb14,4,60,8
41,chb15,19,36,20
41,chb16,2,15,10
41,chb17,2,18,3
41,chb18,5,68,6
42,chb03,7,29,7
42,chb06,1,56,10
42,chb13,10,34,12
42,chb14,4,58,8
42,chb15,19,35,20
42,chb16,2,15,10
42,chb17,2,17,3
42,chb18,5,68,6
