P,TP,sens,FP,fp_day,dFP_pct,seizures_lost
0,57,0.75,461,39.77,0.0,0
10,57,0.75,461,39.77,0.0,0
20,57,0.75,450,38.82,2.4,0
30,57,0.75,422,36.4,8.5,0
40,50,0.6579,322,27.78,30.2,7
50,49,0.6447,251,21.65,45.6,8
60,48,0.6316,199,17.17,56.8,9
65,45,0.5921,178,15.35,61.4,12
70,44,0.5789,152,13.11,67.0,13
72.5,42,0.5526,138,11.9,70.1,15
75,42,0.5526,126,10.87,72.7,15
77.5,40,0.5263,109,9.4,76.4,17
80,39,0.5132,98,8.45,78.7,18
85,33,0.4342,76,6.56,83.5,24
90,27,0.3553,53,4.57,88.5,30
92.5,26,0.3421,41,3.54,91.1,31
95,24,0.3158,25,2.16,94.6,33
97.5,17,0.2237,11,0.95,97.6,40
