cand,view,cell,fpday,sens,prec,f1,TP,FP
rlg,VAL-OP B=5,m75/p10.0,3.6,0.342,0.382,0.361,26,42
rlg,VAL-OP B=10,m50/p10.0,7.5,0.355,0.237,0.284,27,87
rlg,VAL-OP B=20,m50/p5.0,13.5,0.5,0.195,0.28,38,157
rlg,VAL-OP B=40,m50/p2.0,27.4,0.618,0.129,0.213,47,318
rlg,VAL-OP B=75,m50/p0.5,64.4,0.711,0.068,0.123,54,746
rlg,@§0 bal,m70/p0.5,38.4,0.645,0.099,0.172,49,445
rlg,@§0 hi,m55/p0.3,72.0,0.763,0.065,0.12,58,835
lg,VAL-OP B=5,m70/p10.0,4.9,0.276,0.269,0.273,21,57
lg,VAL-OP B=10,m40/p10.0,9.1,0.289,0.173,0.217,22,105
lg,VAL-OP B=20,m70/p2.0,16.6,0.526,0.172,0.26,40,192
lg,VAL-OP B=40,m40/p2.0,33.0,0.605,0.107,0.183,46,382
lg,VAL-OP B=75,m55/p0.3,66.3,0.724,0.067,0.122,55,769
lg,@§0 bal,m70/p0.5,36.5,0.579,0.094,0.162,44,423
lg,@§0 hi,m55/p0.3,66.3,0.724,0.067,0.122,55,769
