candidate,view,cell,sens,prec,f1,fpday,TP,FP
§0,§0 balanced,m70/p0.5,0.632,0.097,0.168,38.6,48,447
§0,§0 high-sens,m55/p0.3,0.776,0.065,0.121,72.7,59,843
rlg,@§0 bal cell,m70/p0.5,0.645,0.099,0.172,38.4,49,445
rlg,@§0 hi cell,m55/p0.3,0.763,0.065,0.12,72.0,58,835
rlg,VAL-OP bal,m50/p2.0,0.618,0.129,0.213,27.4,47,318
rlg,VAL-OP hi,m50/p0.5,0.711,0.068,0.123,64.4,54,746
lg,@§0 bal cell,m70/p0.5,0.579,0.094,0.162,36.5,44,423
lg,@§0 hi cell,m55/p0.3,0.724,0.067,0.122,66.3,55,769
lg,VAL-OP bal,m40/p2.0,0.605,0.107,0.183,33.0,46,382
lg,VAL-OP hi,m55/p0.3,0.724,0.067,0.122,66.3,55,769
