variant,budget_fp_per_day,n_subjects,n_seizures,sensitivity,precision,f1,fp_per_day,TP,FP,reference_cell,per_subject_cells
final system (incumbent),5.0,3,13,0.8462,0.3333,0.4783,4.58,11,22,m75/p10.0,"chb10:m75/p10.0,chb11:m80/p10.0,chb22:m75/p10.0"
final system (incumbent),10.0,3,13,0.8462,0.193,0.3143,9.57,11,46,m50/p10.0,"chb10:m50/p10.0,chb11:m60/p10.0,chb22:m40/p10.0"
final system (incumbent),20.0,3,13,1.0,0.1262,0.2241,18.72,13,90,m50/p5.0,"chb10:m50/p5.0,chb11:m60/p5.0,chb22:m50/p5.0"
final system (incumbent),40.0,3,13,1.0769,0.0657,0.1239,41.39,14,199,m50/p2.0,"chb10:m50/p2.0,chb11:m50/p2.0,chb22:m40/p2.0"
final system (incumbent),75.0,3,13,1.0769,0.0375,0.0725,74.66,14,359,m50/p0.5,"chb10:m55/p0.5,chb11:m50/p0.5,chb22:m40/p0.5"
drop reconstruction readout,5.0,3,13,0.9231,0.3333,0.4898,4.99,12,24,m70/p10.0,"chb10:m70/p10.0,chb11:m70/p10.0,chb22:m65/p10.0"
drop reconstruction readout,10.0,3,13,0.9231,0.1905,0.3158,10.61,12,51,m40/p10.0,"chb10:m50/p10.0,chb11:m40/p10.0,chb22:m40/p5.0"
drop reconstruction readout,20.0,3,13,1.0769,0.1239,0.2222,20.59,14,99,m70/p2.0,"chb10:m75/p2.0,chb11:m65/p2.0,chb22:m70/p1.0"
drop reconstruction readout,40.0,3,13,1.0769,0.0676,0.1273,40.14,14,193,m75/p0.3,"chb10:m75/p0.5,chb11:m65/p0.5,chb22:m70/p0.3"
drop reconstruction readout,75.0,3,13,1.1538,0.0414,0.08,72.17,15,347,m55/p0.3,"chb10:m55/p0.5,chb11:m40/p0.5,chb22:m40/p0.3"
drop latent readout,5.0,3,13,0.6923,0.2571,0.375,5.41,9,26,m75/p10.0,"chb10:m75/p10.0,chb11:m75/p10.0,chb22:m75/p10.0"
drop latent readout,10.0,3,13,0.7692,0.1852,0.2985,9.15,10,44,m75/p5.0,"chb10:m75/p5.0,chb11:m80/p5.0,chb22:m75/p5.0"
drop latent readout,20.0,3,13,0.8462,0.1058,0.188,19.34,11,93,m50/p5.0,"chb10:m40/p5.0,chb11:m60/p5.0,chb22:m50/p5.0"
drop latent readout,40.0,3,13,1.0,0.065,0.1221,38.89,13,187,m60/p1.0,"chb10:m60/p1.0,chb11:m65/p1.0,chb22:m60/p1.0"
drop latent readout,75.0,3,13,1.0,0.0344,0.0665,75.91,13,365,m50/p0.3,"chb10:m55/p0.3,chb11:m50/p0.3,chb22:m40/p0.3"
"directed connectivity, score level",5.0,3,13,0.7692,0.3125,0.4444,4.58,10,22,m70/p10.0,"chb10:m75/p10.0,chb11:m65/p10.0,chb22:m70/p10.0"
"directed connectivity, score level",10.0,3,13,0.9231,0.2,0.3288,9.98,12,48,m65/p5.0,"chb10:m70/p5.0,chb11:m65/p5.0,chb22:m55/p5.0"
"directed connectivity, score level",20.0,3,13,0.9231,0.1121,0.2,19.76,12,95,m40/p5.0,"chb10:m50/p5.0,chb11:m40/p5.0,chb22:m55/p2.0"
"directed connectivity, score level",40.0,3,13,1.0769,0.0686,0.129,39.51,14,190,m40/p2.0,"chb10:m50/p2.0,chb11:m55/p1.0,chb22:m40/p1.0"
"directed connectivity, score level",75.0,3,13,1.0769,0.0393,0.0759,71.13,14,342,m50/p0.3,"chb10:m50/p0.5,chb11:m40/p0.5,chb22:m40/p0.3"
"alternative smoothing, median 9",5.0,3,13,0.6154,0.25,0.3556,4.99,8,24,m70/p10.0,"chb10:m70/p10.0,chb11:m70/p10.0,chb22:m70/p10.0"
