variant,sensitivity,precision,f1,fp_per_day,delta_f1_vs_incumbent,delta_sensitivity_vs_incumbent
final system (incumbent),0.8462,0.3333,0.4783,4.58,0.0,0.0
drop reconstruction readout,0.9231,0.3333,0.4898,4.99,0.0115,0.0769
drop latent readout,0.6923,0.2571,0.375,5.41,-0.1033,-0.1539
"directed connectivity, score level",0.7692,0.3125,0.4444,4.58,-0.0339,-0.077
"alternative smoothing, median 9",0.6154,0.25,0.3556,4.99,-0.1227,-0.2308
"alternative smoothing, median 15",0.6923,0.2812,0.4,4.78,-0.0783,-0.1539
onset-slope change-point filtering,0.8462,0.3235,0.4681,4.78,-0.0102,0.0
"artifact gate, isolated spikes",0.9231,0.3243,0.48,5.2,0.0017,0.0769
"artifact gate, per-window",0.0,0.0,nan,4.58,nan,-0.8462
initialisation 42,0.8462,0.3333,0.4783,4.58,0.0,0.0
initialisation 1,1.0,0.3611,0.5306,4.78,0.0523,0.1538
initialisation 2,0.9231,0.3333,0.4898,4.99,0.0115,0.0769
initialisation 3,0.8462,0.3056,0.449,5.2,-0.0293,0.0
