w_recon,w_latent,w_gamma,val_macro_auroc,auroc_chb10,auroc_chb11,auroc_chb22
0.00,0.00,1.00,0.905958,0.821872,0.930667,0.965333
0.00,0.05,0.95,0.912281,0.839880,0.931413,0.965552
0.00,0.10,0.90,0.917988,0.856242,0.932025,0.965696
0.00,0.15,0.85,0.923006,0.870819,0.932495,0.965704
0.00,0.20,0.80,0.927274,0.883608,0.932699,0.965514
0.00,0.25,0.75,0.930769,0.894785,0.932565,0.964958
0.00,0.30,0.70,0.933702,0.904612,0.932104,0.964391
0.00,0.35,0.65,0.935967,0.913122,0.931194,0.963586
0.00,0.40,0.60,0.937560,0.920373,0.929709,0.962599
0.00,0.45,0.55,0.938526,0.926367,0.927650,0.961562
0.00,0.50,0.50,0.938621,0.930943,0.924752,0.960168
0.00,0.55,0.45,0.937684,0.933850,0.920755,0.958448
0.00,0.60,0.40,0.935503,0.935037,0.915145,0.956326
0.00,0.65,0.35,0.931684,0.934081,0.907532,0.953438
0.00,0.70,0.30,0.925757,0.930695,0.896970,0.949607
0.00,0.75,0.25,0.916450,0.923982,0.881971,0.943396
0.00,0.80,0.20,0.902423,0.913555,0.860488,0.933227
0.00,0.85,0.15,0.880498,0.898366,0.829136,0.913993
0.00,0.90,0.10,0.846456,0.877172,0.783814,0.878383
0.00,0.95,0.05,0.796031,0.849021,0.720796,0.818277
0.00,1.00,0.00,0.730918,0.815612,0.641041,0.736102
0.05,0.00,0.95,0.905127,0.813484,0.934532,0.967364
0.05,0.05,0.90,0.911908,0.832595,0.935451,0.967678
0.05,0.10,0.85,0.918067,0.850096,0.936269,0.967836
0.05,0.15,0.80,0.923495,0.865717,0.936858,0.967909
0.05,0.20,0.75,0.928153,0.879423,0.937204,0.967833
0.05,0.25,0.70,0.931962,0.891207,0.937232,0.967448
0.05,0.30,0.65,0.935043,0.901500,0.936787,0.966841
0.05,0.35,0.60,0.937407,0.910256,0.935946,0.966021
0.05,0.40,0.55,0.938995,0.917573,0.934418,0.964994
0.05,0.45,0.50,0.939802,0.923329,0.932221,0.963855
0.05,0.50,0.45,0.939600,0.927461,0.929063,0.962275
0.05,0.55,0.40,0.938124,0.929625,0.924541,0.960205
0.05,0.60,0.35,0.935098,0.929551,0.918194,0.957551
0.05,0.65,0.30,0.930092,0.926949,0.909305,0.954023
0.05,0.70,0.25,0.922048,0.921111,0.896387,0.948647
0.05,0.75,0.20,0.909337,0.911496,0.877295,0.939220
0.05,0.80,0.15,0.889077,0.896958,0.848707,0.921564
0.05,0.85,0.10,0.856365,0.876151,0.805799,0.887145
0.05,0.90,0.05,0.806029,0.847639,0.743993,0.826454
0.05,0.95,0.00,0.739107,0.812793,0.662896,0.741633
0.10,0.00,0.90,0.903814,0.803685,0.938290,0.969467
0.10,0.05,0.85,0.911071,0.824005,0.939371,0.969839
0.10,0.10,0.80,0.917728,0.842705,0.940342,0.970138
0.10,0.15,0.75,0.923508,0.859253,0.941056,0.970216
0.10,0.20,0.70,0.928500,0.873923,0.941420,0.970156
0.10,0.25,0.65,0.932677,0.886559,0.941564,0.969907
0.10,0.30,0.60,0.935937,0.897232,0.941259,0.969321
0.10,0.35,0.55,0.938417,0.906306,0.940432,0.968511
0.10,0.40,0.50,0.939960,0.913548,0.938885,0.967448
0.10,0.45,0.45,0.940538,0.918913,0.936580,0.966122
0.10,0.50,0.40,0.939829,0.922259,0.933030,0.964199
