epoch,total,r1,r2_recon,rx,gate_R2,r2_loss_share,lr,sec
0,0.087859,0.018312,0.068557,0.009894,1.0163,0.78031,0.001,75.21
1,0.078341,0.015951,0.062075,0.003145,1.01529,0.79237,0.001,73.61
2,0.07628,0.015786,0.060178,0.003163,1.01305,0.7889,0.000999,74.05
3,0.074969,0.015789,0.058842,0.003372,1.0115,0.78489,0.000999,74.73
4,0.074179,0.01577,0.05809,0.003193,1.01153,0.7831,0.000998,74.78
5,0.073707,0.01577,0.057611,0.003252,1.01134,0.78163,0.000998,74.53
6,0.073269,0.01586,0.057073,0.003362,1.01176,0.77895,0.000997,72.77
7,0.072779,0.015933,0.056505,0.003419,1.0122,0.77638,0.000996,72.53
8,0.072418,0.015924,0.056134,0.00359,1.01223,0.77515,0.000995,72.55
9,0.072123,0.015924,0.055813,0.00386,1.01217,0.77386,0.000994,72.06
10,0.071879,0.015915,0.055546,0.004175,1.01258,0.77277,0.000993,72.14
11,0.071656,0.015898,0.055299,0.004585,1.01299,0.77173,0.000991,72.17
12,0.071475,0.015913,0.05505,0.005118,1.01381,0.7702,0.00099,72.23
13,0.071269,0.015902,0.054806,0.005615,1.01394,0.76899,0.000988,72.85
14,0.071121,0.015898,0.05461,0.006127,1.01436,0.76785,0.000986,76.81
15,0.070942,0.015881,0.054425,0.006369,1.01452,0.76717,0.000984,75.22
16,0.070821,0.015863,0.054305,0.006531,1.01471,0.76679,0.000982,77.28
17,0.070745,0.015855,0.054231,0.006594,1.01496,0.76657,0.00098,77.17
18,0.070638,0.015836,0.05414,0.006622,1.01556,0.76643,0.000978,77.35
19,0.070548,0.015825,0.054062,0.006613,1.0156,0.76632,0.000976,77.79
20,0.070474,0.015815,0.053994,0.006648,1.01589,0.76615,0.000973,77.34
21,0.070413,0.015805,0.053934,0.006747,1.0155,0.76596,0.00097,76.65
22,0.070343,0.015796,0.053878,0.006692,1.01579,0.76593,0.000968,77.48
23,0.07029,0.015792,0.053821,0.006778,1.01592,0.76569,0.000965,77.62
24,0.07022,0.015782,0.053762,0.006762,1.01577,0.76562,0.000962,78.36
25,0.070191,0.015782,0.053726,0.006828,1.01595,0.76543,0.000959,78.25
26,0.070095,0.015765,0.05365,0.006798,1.0158,0.76539,0.000956,77.62
27,0.070063,0.015763,0.053614,0.006867,1.01566,0.76522,0.000952,78.01
28,0.07002,0.015756,0.053579,0.006848,1.01582,0.7652,0.000949,78.14
29,0.069973,0.015751,0.053538,0.00684,1.01558,0.76512,0.000946,77.61
30,0.069947,0.015748,0.053508,0.00691,1.01561,0.76498,0.000942,78.04
31,0.0699,0.01574,0.053471,0.006887,1.0155,0.76496,0.000938,77.79
32,0.06984,0.015729,0.053425,0.00686,1.01562,0.76496,0.000934,78.94
33,0.069856,0.01573,0.053438,0.006879,1.01564,0.76497,0.00093,77.97
34,0.069806,0.015721,0.053393,0.006916,1.01575,0.76488,0.000926,77.16
35,0.069754,0.01571,0.053358,0.006863,1.01587,0.76495,0.000922,77.81
36,0.06974,0.015706,0.053347,0.006877,1.01564,0.76493,0.000918,78.12
37,0.069707,0.015698,0.053324,0.006851,1.01548,0.76497,0.000914,77.51
38,0.069667,0.015691,0.053295,0.006807,1.0156,0.765,0.000909,76.18
39,0.069671,0.01569,0.053292,0.006884,1.0156,0.76491,0.000905,76.69
40,0.069626,0.015681,0.053262,0.006825,1.01555,0.76498,0.0009,76.56
41,0.069615,0.015682,0.053254,0.006788,1.01561,0.76498,0.000895,76.63
42,0.069593,0.015676,0.053237,0.006793,1.01533,0.76499,0.00089,76.54
43,0.06956,0.015672,0.053208,0.006796,1.01542,0.76492,0.000885,79.8
44,0.069544,0.01567,0.053193,0.006813,1.01525,0.76488,0.00088,80.06
45,0.069509,0.015665,0.053166,0.006777,1.01536,0.76489,0.000875,82.92
46,0.069495,0.015665,0.05315,0.0068,1.01546,0.7648,0.00087,84.68
47,0.069478,0.01566,0.053135,0.006827,1.0156,0.76477,0.000864,85.31
48,0.069472,0.01566,0.053129,0.006823,1.01564,0.76476,0.000859,87.22
49,0.069441,0.015657,0.053103,0.006812,1.01546,0.76472,0.000854,85.52
50,0.069438,0.015657,0.053094,0.006875,1.01553,0.76462,0.000848,86.82
51,0.069407,0.015657,0.053068,0.006821,1.01565,0.76459,0.000842,84.61
52,0.069394,0.015656,0.053056,0.006825,1.01547,0.76456,0.000837,84.78
53,0.069385,0.015656,0.053043,0.006857,1.0156,0.76447,0.000831,84.93
54,0.069348,0.015654,0.05301,0.006839,1.01568,0.7644,0.000825,87.08
55,0.069349,0.015656,0.053005,0.006878,1.01563,0.76433,0.000819,87.18
56,0.069327,0.015658,0.052982,0.006867,1.01561,0.76423,0.000813,86.4
57,0.069304,0.015655,0.05296,0.006888,1.01548,0.76417,0.000806,85.27
58,0.069288,0.015653,0.052947,0.006885,1.01562,0.76416,0.0008,83.49
59,0.069278,0.015656,0.05293,0.00692,1.01566,0.76402,0.000794,88.01
60,0.069259,0.015656,0.052911,0.006914,1.01588,0.76397,0.000788,86.36
61,0.06924,0.015659,0.052888,0.006934,1.01568,0.76383,0.000781,85.43
62,0.069219,0.015659,0.052866,0.006938,1.01545,0.76375,0.000775,86.22
63,0.069211,0.015661,0.052856,0.006936,1.01579,0.7637,0.000768,80.27
64,0.06919,0.015661,0.052834,0.006947,1.01579,0.76361,0.000761,80.55
65,0.069177,0.015666,0.052811,0.006996,1.01564,0.76342,0.000755,79.48
66,0.069147,0.015667,0.052786,0.006944,1.01576,0.76338,0.000748,83.37
67,0.069152,0.015676,0.052776,0.007008,1.01557,0.76318,0.000741,76.42
68,0.069113,0.015678,0.052739,0.006969,1.01574,0.76308,0.000734,74.44
69,0.069097,0.015684,0.052715,0.006982,1.01574,0.76291,0.000727,73.92
70,0.069093,0.015692,0.052698,0.007028,1.01559,0.76272,0.00072,74.09
71,0.069078,0.015703,0.052674,0.007013,1.01586,0.76253,0.000713,74.19
72,0.069052,0.015712,0.052637,0.007024,1.01586,0.76229,0.000706,72.97
73,0.069028,0.015724,0.052603,0.007016,1.01571,0.76205,0.000699,73.28
74,0.069003,0.015744,0.05256,0.006988,1.01573,0.76171,0.000691,73.31
75,0.068983,0.015775,0.052512,0.00696,1.01574,0.76123,0.000684,71.8
76,0.068939,0.015821,0.052435,0.006837,1.01585,0.76059,0.000677,72.34
77,0.068902,0.015871,0.052365,0.006661,1.01584,0.75999,0.000669,72.03
78,0.068837,0.015898,0.052287,0.006513,1.01593,0.75958,0.000662,71.28
79,0.068794,0.015912,0.052241,0.00641,1.01599,0.75938,0.000655,71.58
80,0.068759,0.01592,0.052201,0.006381,1.01596,0.75919,0.000647,71.16
81,0.068709,0.015919,0.052159,0.006313,1.01613,0.75912,0.000639,71.16
82,0.068659,0.015917,0.052116,0.006259,1.01627,0.75905,0.000632,70.81
