subject,seizure_idx,n_windows,rank1_channel,rank1_score,rank2_channel,rank2_score,rank3_channel,rank3_score
chb03,0,14,T7-P7,10.3073,P7-O1,9.1051,F3-C3,5.2172
chb03,1,17,C4-P4,8.8546,FP1-F7,8.7019,C3-P3,6.6263
chb03,2,18,FZ-CZ,9.523,P7-O1,8.6628,C4-P4,7.1546
chb03,3,14,T7-P7,15.0526,P7-O1,9.5816,CZ-PZ,7.6395
chb03,4,13,P4-O2,10.3839,T7-P7,7.7327,C4-P4,7.4587
chb03,5,16,P7-O1,7.1696,FZ-CZ,6.4531,C3-P3,5.8664
chb03,6,14,T7-P7,10.8101,C3-P3,7.6366,FP1-F7,6.3834
chb06,0,4,F8-T8,3.844,T8-P8,3.2864,C4-P4,2.5355
chb06,1,4,P3-O1,9.3647,P4-O2,8.2013,C4-P4,7.1833
chb06,2,4,F3-C3,7.3177,P4-O2,5.1231,FZ-CZ,5.0296
chb06,3,6,P4-O2,4.7161,FP1-F3,4.3304,F8-T8,3.929
chb06,4,6,F4-C4,3.53,P3-O1,2.6117,FP2-F4,2.0384
chb06,5,4,T8-P8,2.8274,FP1-F3,2.4615,CZ-PZ,2.4398
chb06,6,4,FP2-F4,6.249,T8-P8,6.2112,F3-C3,5.1649
chb06,7,4,P3-O1,4.3307,FP2-F4,2.9436,FZ-CZ,2.7754
chb06,8,4,P3-O1,4.4452,P7-O1,3.0584,C4-P4,2.8614
chb06,9,5,F3-C3,7.2738,T7-P7,4.7922,C4-P4,4.6819
chb13,0,12,FP1-F7,7.0926,F8-T8,6.5624,CZ-PZ,6.4361
chb13,1,18,FP1-F7,9.0362,CZ-PZ,6.2876,FP1-F3,4.8476
chb13,2,9,FP1-F7,9.8979,FP1-F3,9.2388,F3-C3,6.1838
chb13,3,17,FP1-F7,7.4148,FZ-CZ,7.1665,F7-T7,7.1613
chb13,4,6,FP1-F3,6.6852,F8-T8,6.1738,F3-C3,5.931
chb13,5,5,FP2-F4,11.3686,CZ-PZ,10.9326,C3-P3,9.771
chb13,6,5,F7-T7,8.1956,FP1-F7,7.4285,P3-O1,5.612
chb13,7,17,F7-T7,10.0741,FP1-F7,8.6153,FP1-F3,8.511
chb13,8,6,T8-P8,8.3557,P3-O1,5.9927,F4-C4,5.6581
chb13,9,17,FP1-F7,8.2861,F7-T7,7.8573,C3-P3,6.9877
chb13,10,17,F7-T7,9.9614,C4-P4,8.9187,P4-O2,7.3065
chb13,11,15,P3-O1,10.2418,FP2-F4,8.398,P8-O2,7.4714
chb14,0,4,P7-O1,4.8437,F8-T8,4.1486,F3-C3,2.4913
chb14,1,5,FP2-F8,15.2762,FP2-F4,13.0127,P4-O2,4.663
chb14,2,6,FP2-F8,6.8726,P7-O1,6.8477,FP1-F7,5.67
chb14,3,5,C3-P3,5.4856,CZ-PZ,5.4063,C4-P4,4.6553
chb14,4,11,P7-O1,11.7649,F8-T8,10.046,FP1-F7,8.314
chb14,5,6,CZ-PZ,6.4689,FP2-F8,5.8768,FP1-F7,5.3277
chb14,6,7,C3-P3,4.8656,F7-T7,4.646,FP2-F8,3.7812
chb14,7,5,P4-O2,7.5433,F7-T7,4.3493,FP1-F7,3.7114
chb15,0,32,FZ-CZ,7.0563,CZ-PZ,6.5367,P7-O1,5.496
chb15,1,9,F4-C4,9.6983,T7-P7,7.2309,FP1-F7,6.1393
chb15,2,40,P7-O1,9.5785,F8-T8,7.3664,FP1-F7,6.8583
chb15,3,9,T7-P7,8.0814,P7-O1,6.5758,P3-O1,6.09
chb15,4,15,FP1-F3,9.2554,T8-P8,9.1707,F8-T8,8.5301
chb15,5,52,F7-T7,10.6237,FP2-F8,8.8336,P8-O2,8.2842
chb15,6,48,F7-T7,10.9436,F8-T8,9.6461,FP2-F4,8.6838
chb15,7,31,P3-O1,8.7382,P7-O1,7.9206,T7-P7,7.6004
chb15,8,16,P3-O1,14.2142,C3-P3,12.2898,FP2-F8,10.7226
chb15,9,31,P3-O1,13.041,T7-P7,10.4243,F7-T7,8.7485
chb15,10,17,P3-O1,14.6308,P4-O2,11.6461,FP1-F7,9.899
chb15,11,28,P3-O1,10.8121,FP2-F8,8.1152,FP2-F4,7.5789
chb15,12,35,F7-T7,11.9001,FP2-F8,9.3252,FP1-F3,8.4169
chb15,13,19,F8-T8,19.0873,F7-T7,17.6282,P3-O1,10.9724
chb15,14,15,P3-O1,17.0773,FP1-F3,8.5427,T7-P7,8.0246
chb15,15,45,P3-O1,12.1687,F3-C3,5.7284,P7-O1,5.3845
chb15,16,18,P3-O1,14.4381,T7-P7,9.7862,P7-O1,8.5285
chb15,17,19,P3-O1,8.8585,FP1-F7,7.4268,P8-O2,7.1541
chb15,18,8,P4-O2,12.2087,T8-P8,11.5361,P3-O1,10.2817
chb15,19,28,P3-O1,13.3325,P7-O1,11.1381,F8-T8,8.3932
chb16,0,3,FZ-CZ,11.1061,F4-C4,10.753,F3-C3,9.005
chb16,1,3,FZ-CZ,12.8183,P4-O2,12.731,P3-O1,10.5924
chb16,2,4,P4-O2,7.5155,C4-P4,7.4082,FP2-F8,5.7133
chb16,3,2,FZ-CZ,7.0821,F3-C3,6.0791,F4-C4,4.561
chb16,4,3,P4-O2,12.4876,P8-O2,11.4046,F3-C3,10.99
chb16,5,2,FZ-CZ,12.5107,P8-O2,11.6934,P4-O2,11.458
chb16,6,3,P4-O2,10.3394,FZ-CZ,8.8825,FP1-F3,8.1794
chb16,7,3,F3-C3,14.0253,FZ-CZ,13.3585,P8-O2,11.2927
chb16,8,3,P8-O2,18.29,FP1-F3,16.6714,P4-O2,15.9912
chb16,9,2,FZ-CZ,10.0715,F3-C3,9.6786,P3-O1,8.7398
chb17,0,23,P4-O2,6.109,T7-P7,4.3869,F4-C4,4.1715
chb17,1,29,T7-P7,4.6532,F7-T7,4.3342,FP2-F4,3.8061
chb17,2,22,CZ-PZ,4.4862,P4-O2,4.2387,P7-O1,3.0577
chb18,0,13,P8-O2,8.9172,P4-O2,8.304,P3-O1,7.7708
chb18,1,8,F8-T8,5.6863,P8-O2,5.2987,T7-P7,5.1327
chb18,2,18,FP1-F7,9.7884,P4-O2,7.9065,C3-P3,7.5154
chb18,3,14,P4-O2,8.8501,C3-P3,7.3537,P8-O2,7.1145
chb18,4,17,C3-P3,17.9592,P4-O2,12.0998,P8-O2,10.7779
chb18,5,13,P4-O2,6.9872,CZ-PZ,6.2209,P3-O1,6.0171
